transaction_amount,time_since_last_transaction,merchant_category_code,distance_from_home,transaction_frequency_24h,is_weekend,is_fraud
5.9,20.38,10,1.43,5,0,0
98.11,49.09,12,25.25,1,0,0
69.99,61.51,10,7.92,1,1,0
16.95,56.3,13,0.8,1,0,0
17.88,22.22,18,0.48,3,0,0
66.33,42.13,16,4.57,1,1,0
52.54,65.65,16,14.31,3,0,0
21.07,57.19,6,1.31,2,0,0
500,30.18,8,2.73,4,1,0
90.37,19.93,15,20.08,1,1,0
59.05,25.01,14,3.37,1,1,0
46.02,13.8,15,0.05,3,0,0
81.45,38.93,2,27.23,4,0,0
85.43,13.81,13,5.62,2,1,0
50.48,49.36,9,2.27,5,0,0
29.03,57.65,16,17.19,4,0,0
85.52,25.37,12,1.87,4,1,0
278.13,15.5,10,14.4,4,0,0
56.42,58.3,9,5.94,3,0,0
20.36,29.56,6,6.9,1,1,0
149.53,44.38,15,2.62,3,0,0
41.49,24.96,9,11.09,4,0,0
302.61,44.73,19,11.66,1,0,0
70.57,41.09,5,5.85,2,1,0
24.98,19.68,5,39.78,1,1,0
31.0,63.38,7,0.02,1,0,0
317.49,22.25,19,2.2,4,1,0
22.14,20.52,15,17.19,1,0,0
12.46,33.42,8,14.05,5,0,0
21.26,58.53,20,0.1,3,1,0
193.91,50.52,8,1.36,1,1,0
99.16,45.37,20,1.36,3,0,0
46.11,18.4,4,2.2,4,1,0
208.24,42.2,20,0.59,2,0,0
48.26,18.48,14,2.0,4,0,0
175.41,62.01,13,24.66,4,0,0
36.56,7.98,19,3.97,2,0,0
22.87,4.98,6,19.28,5,1,0
34.14,53.96,5,2.4,5,0,0
149.41,62.96,6,5.96,2,0,0
92.7,8.33,3,14.46,3,1,0
104.73,23.64,20,11.85,3,0,0
130.58,46.02,15,5.4,3,1,0
39.17,33.93,19,7.01,3,0,0
36.98,63.9,10,2.63,3,1,0
25.54,53.64,12,8.73,4,0,0
108.52,29.36,13,4.16,2,0,0
38.63,55.55,4,17.47,1,1,0
12.11,56.85,1,5.51,3,1,0
43.09,32.99,10,11.69,2,0,0
42.86,12.52,12,1.94,5,0,0
93.57,9.15,12,4.72,5,0,0
80.48,20.9,17,18.77,1,1,0
63.43,63.36,18,15.92,1,0,0
15.28,21.67,5,1.88,2,0,0
16.79,41.51,6,2.25,2,0,0
68.71,38.44,17,0.7,4,1,0
33.76,53.92,13,14.76,2,1,0
27.96,12.85,9,9.54,2,1,0
25.8,60.58,8,2.79,2,1,0
292.39,24.02,3,5.18,3,1,0
135.35,33.06,8,4.27,4,1,0
43.67,57.56,11,12.39,5,1,0
103.52,11.51,19,17.5,4,1,0
290.08,33.96,10,2.96,4,1,0
90.92,48.48,3,3.3,3,0,0
40.36,66.76,1,1.75,3,1,0
70.86,57.37,2,13.75,2,0,0
8.49,27.81,12,9.63,2,1,0
171.3,16.58,9,4.2,4,0,0
16.2,30.17,8,0.35,5,0,0
106.03,28.88,16,0.92,5,1,0
24.73,38.22,20,5.1,4,1,0
37.49,47.26,9,2.42,5,1,0
86.5,63.28,11,8.03,1,1,0
37.68,20.37,17,1.28,4,0,0
9.03,24.04,18,2.45,2,1,0
71.24,63.37,10,23.54,2,1,0
169.79,18.56,3,7.77,4,1,0
40.27,41.3,9,0.43,3,0,0
18.57,39.29,6,0.21,5,1,0
56.12,57.97,10,3.72,4,0,0
406.51,38.26,19,10.29,2,1,0
23.06,41.23,10,0.68,2,1,0
148.02,1.15,13,2.47,4,1,0
239.85,45.28,7,0.97,1,0,0
219.1,71.69,5,17.11,3,0,0
48.61,41.87,18,8.23,5,1,0
76.81,62.87,11,0.84,2,1,0
39.76,13.83,12,5.23,3,1,0
64.29,47.45,18,14.56,3,0,0
40.79,71.23,1,4.62,1,1,0
18.95,1.1,9,12.58,4,1,0
23.4,12.74,16,20.05,5,0,0
120.22,35.36,13,0.11,1,1,0
132.51,63.65,11,18.07,5,0,0
157.25,29.19,2,32.58,5,0,0
68.92,60.62,20,1.63,4,1,0
29.56,40.27,18,15.65,1,0,0
59.16,52.06,7,26.6,3,1,0
11.03,10.83,11,2.18,1,1,0
25.37,18.39,2,0.19,5,1,0
90.25,19.08,14,15.21,5,0,0
73.72,6.76,16,4.84,3,0,0
61.1,46.15,1,0.57,2,1,0
26.15,49.37,12,1.21,3,0,0
59.69,66.62,4,28.51,4,0,0
43.04,38.29,2,5.93,3,0,0
355.61,6.29,17,1.1,9,1,1
471.96,3.35,7,73.42,9,0,1
46.94,55.37,14,3.75,4,1,0
57.53,60.33,2,5.44,2,0,0
15.62,18.2,16,15.99,2,0,0
109.66,11.69,15,21.72,4,1,0
34.25,70.65,2,20.04,3,0,0
62.72,13.32,18,18.05,4,1,0
134.16,63.81,6,3.1,2,1,0
44.29,31.0,4,17.88,3,1,0
122.5,5.4,2,20.72,3,0,0
21.49,27.72,2,11.5,5,1,0
136.43,37.57,14,4.77,1,1,0
247.27,67.04,10,4.71,5,0,0
23.67,47.26,11,5.77,1,0,0
24.82,14.09,6,4.03,1,1,0
67.14,23.87,13,0.31,3,0,0
46.53,22.36,8,2.82,2,1,0
50.51,8.33,12,17.03,2,1,0
73.46,5.87,3,1.07,3,1,0
21.66,29.48,2,28.26,2,0,0
70.29,37.55,17,0.09,2,1,0
224.85,36.28,1,9.91,1,0,0
64.24,48.94,4,1.16,3,1,0
37.64,5.31,2,3.79,1,0,0
28.99,8.99,5,1.28,5,0,0
21.47,52.88,1,17.81,5,0,0
101.44,12.89,20,11.07,5,1,0
41.89,20.92,12,9.95,2,1,0
59.33,47.35,1,21.61,4,1,0
52.61,37.02,17,2.67,3,1,0
75.5,25.33,2,4.98,2,0,0
140.88,17.99,11,15.25,4,1,0
19.66,19.3,1,9.88,1,0,0
11.82,64.1,15,26.18,5,1,0
12.36,1.69,2,6.23,3,1,0
91.63,27.7,10,5.3,4,0,0
500,7.6,8,18.21,5,1,0
282.6,54.28,16,7.85,2,1,0
105.92,37.49,11,11.43,3,1,0
103.82,42.01,4,15.9,4,0,0
50.91,1.79,19,2.1,3,1,0
967.01,1.67,19,151.58,7,1,1
132.61,17.39,16,2.61,2,0,0
295.18,5.68,4,6.53,4,1,0
25.29,57.69,6,1.26,2,1,0
384.5,47.82,5,3.54,1,0,0
500,15.59,16,4.68,3,0,0
10.28,62.1,6,6.98,5,0,0
60.54,30.38,3,10.32,5,0,0
13.63,46.58,10,5.28,4,1,0
28.42,41.55,20,0.13,4,0,0
124.22,14.08,6,1.07,1,1,0
92.56,39.67,4,5.73,4,0,0
209.28,7.39,20,4.73,4,1,0
44.72,46.98,1,15.15,4,0,0
11.3,26.03,19,28.5,5,1,0
231.39,43.34,19,16.81,2,1,0
23.07,40.33,12,3.43,3,0,0
85.91,47.64,9,6.1,1,0,0
40.4,43.15,6,3.71,3,0,0
51.18,20.21,4,6.02,5,0,0
30.11,1.24,14,4.21,5,0,0
10.82,5.35,15,2.05,2,0,0
186.0,69.23,1,10.21,5,1,0
79.37,15.05,9,26.13,1,1,0
92.25,64.42,12,11.91,5,0,0
46.39,5.18,17,8.09,2,1,0
74.41,34.97,20,9.0,2,1,0
151.2,4.59,18,14.46,1,0,0
87.04,30.48,18,19.28,4,0,0
16.67,33.33,11,16.3,2,1,0
5,19.82,20,4.4,2,0,0
36.07,11.17,6,12.07,4,1,0
127.34,55.77,20,6.58,3,1,0
336.36,25.06,20,4.84,4,1,0
124.03,39.82,20,9.15,5,0,0
46.12,35.67,1,4.5,1,0,0
112.16,4.17,5,44.14,3,0,1
97.02,52.11,5,0.85,1,1,0
151.8,28.98,7,19.52,4,1,0
33.86,31.27,10,2.45,4,1,0
79.12,63.28,17,6.33,1,1,0
15.38,17.25,15,1.01,3,0,0
37.42,39.68,12,0.2,4,0,0
16.27,13.97,9,6.75,4,0,0
37.84,60.75,13,13.04,3,1,0
395.93,2.48,9,17.05,2,0,0
61.47,56.35,7,1.18,2,0,0
197.95,34.33,9,3.31,4,0,0
34.11,11.07,15,10.8,4,0,0
161.24,7.02,18,3.78,3,0,0
36.0,59.24,6,9.59,5,0,0
45.49,22.78,3,21.86,1,0,0
95.42,40.3,5,45.04,2,1,0
5,11.52,5,2.2,5,1,0
82.09,40.3,10,3.73,1,1,0
11.6,53.53,13,0.4,4,1,0
209.02,6.5,4,6.07,5,1,0
43.86,47.37,16,10.4,2,1,0
187.1,66.46,14,17.63,4,0,0
7.11,70.31,6,17.06,1,0,0
227.47,48.48,1,4.26,1,1,0
79.28,52.66,15,0.15,4,0,0
28.61,36.44,20,6.94,3,0,0
19.09,43.61,6,7.85,1,0,0
108.84,40.1,13,38.03,2,1,0
70.85,14.67,5,22.28,2,0,0
49.35,2.98,19,20.24,8,1,1
6.23,38.86,8,3.86,4,1,0
167.28,68.73,10,3.29,1,0,0
54.35,44.66,17,17.57,2,0,0
59.46,55.17,18,7.72,2,0,0
29.57,71.95,9,3.32,4,0,0
55.56,5.57,18,2.85,5,0,0
17.63,32.67,18,3.74,3,1,0
49.5,51.72,1,1.47,2,0,0
59.14,51.35,7,0.75,5,1,0
45.6,46.81,13,1.98,5,0,0
35.12,43.31,15,6.03,5,0,0
169.91,57.36,14,20.52,3,1,0
155.58,4.1,16,61.33,5,0,1
78.66,14.39,18,4.6,2,0,0
187.3,38.06,4,2.54,5,1,0
5,51.48,18,1.09,1,0,0
38.31,30.77,6,22.03,2,0,0
193.1,61.55,18,10.21,2,1,0
14.43,66.45,12,4.96,1,1,0
33.34,5.87,14,1.43,3,0,0
49.1,5.49,1,31.0,1,1,0
23.0,27.55,13,41.66,3,0,0
36.29,22.74,19,6.63,1,0,0
11.16,9.99,17,2.18,4,0,0
43.99,37.75,3,4.84,4,0,0
74.41,64.4,18,9.06,2,0,0
47.51,30.96,13,13.65,3,0,0
105.35,60.23,4,4.55,4,1,0
251.79,42.82,6,0.86,2,1,0
44.05,42.31,17,9.64,5,1,0
58.45,29.45,10,3.01,1,0,0
77.75,59.14,3,1.56,2,0,0
67.42,61.11,10,6.39,1,1,0
70.31,39.21,2,5.7,5,1,0
32.82,61.55,16,2.94,3,1,0
256.34,15.71,7,13.42,2,1,0
271.55,68.24,17,1.46,5,1,0
82.95,12.26,2,10.92,5,0,0
12.53,4.21,1,6.7,3,0,0
82.53,38.83,13,1.14,4,0,0
29.28,65.46,3,8.45,2,0,0
34.23,51.71,14,5.62,4,0,0
59.76,53.09,8,9.46,3,1,0
356.11,43.95,5,0.8,5,1,0
134.8,44.24,15,22.15,4,0,0
19.71,69.86,9,12.92,1,0,0
397.97,52.42,8,1.49,2,1,0
38.1,9.27,5,38.29,8,1,1
13.94,7.39,6,4.41,1,0,0
130.96,52.14,16,9.0,4,0,0
292.79,14.29,6,10.99,5,0,0
33.25,19.33,17,2.61,2,1,0
17.38,22.89,14,0.32,3,0,0
91.85,55.35,16,10.86,2,0,0
33.5,18.34,17,9.22,1,1,0
44.62,39.09,15,9.54,4,0,0
22.91,4.24,1,20.28,4,0,0
29.93,4.93,14,4.2,1,0,0
29.76,41.99,3,0.38,2,1,0
241.11,50.52,5,8.13,4,0,0
81.83,5.84,19,3.61,1,0,0
194.56,43.16,11,0.91,3,1,0
58.18,4.75,2,1.81,1,0,0
21.16,53.0,17,4.17,3,1,0
42.73,69.79,20,24.79,5,1,0
208.67,56.45,12,11.02,5,1,0
24.1,32.24,2,3.74,2,1,0
7.35,2.51,14,13.12,5,0,0
16.1,24.04,3,2.3,4,1,0
161.28,69.61,17,1.61,5,0,0
997.21,3.66,12,12.58,11,1,1
25.73,48.26,3,8.41,4,1,0
17.47,64.82,7,9.17,1,1,0
36.11,15.72,6,0.98,3,0,0
162.37,45.53,15,6.82,1,0,0
70.68,7.89,7,10.29,2,0,0
90.41,56.31,1,15.07,3,0,0
102.64,3.28,9,4.13,4,0,0
14.85,53.59,20,0.98,1,1,0
13.55,22.88,1,4.03,1,0,0
25.97,70.36,13,7.19,4,0,0
166.69,56.73,17,2.13,4,0,0
151.96,11.79,3,8.02,4,1,0
17.32,6.16,7,0.84,2,0,0
8.73,32.6,20,0.32,5,0,0
106.58,47.04,18,13.24,4,0,0
13.38,43.38,20,3.99,1,1,0
88.47,33.52,19,1.13,3,0,0
303.15,26.49,4,14.27,5,0,0
55.72,69.07,2,13.79,5,0,0
35.85,68.15,9,5.22,1,0,0
13.05,30.41,17,15.73,1,1,0
32.74,16.18,18,16.72,2,1,0
17.28,60.69,8,7.84,4,0,0
58.74,19.37,18,6.81,5,0,0
86.55,57.31,17,7.2,4,0,0
37.85,48.0,16,7.47,4,1,0
25.97,30.75,6,12.77,2,1,0
73.98,43.93,11,1.33,5,0,0
32.92,6.16,2,1.07,2,1,0
158.56,30.81,1,21.48,2,1,0
266.13,35.01,6,26.72,3,1,0
25.19,30.47,18,1.09,5,0,0
84.43,13.32,8,3.27,3,0,0
41.25,32.93,8,9.19,5,1,0
20.82,49.29,19,6.36,1,0,0
17.08,61.23,11,8.17,2,1,0
112.68,33.02,8,3.69,4,0,0
44.25,26.04,13,1.47,3,1,0
84.49,37.28,15,3.86,5,0,0
106.16,65.04,11,14.79,5,0,0
28.88,49.92,16,10.53,4,0,0
140.99,39.06,18,10.52,5,1,0
81.61,19.93,16,7.09,3,1,0
53.83,39.4,10,16.06,1,0,0
178.53,20.48,1,38.58,5,1,0
33.23,46.89,9,0.79,5,0,0
74.96,45.83,3,0.63,5,0,0
16.09,9.22,11,135.89,9,0,1
86.2,52.55,6,15.99,3,0,0
14.17,42.39,19,13.54,3,0,0
10.01,29.59,1,0.35,2,0,0
10.97,59.96,9,3.22,2,1,0
13.32,38.37,13,13.81,1,1,0
159.46,14.17,4,5.53,1,1,0
170.14,36.03,18,2.36,5,1,0
45.92,48.41,20,15.87,2,1,0
6.58,22.1,13,17.35,2,1,0
30.78,66.48,19,0.82,2,0,0
300.03,45.6,14,8.85,1,0,0
61.06,59.05,10,12.99,4,0,0
61.7,71.95,12,17.02,3,0,0
21.41,45.37,5,1.13,1,0,0
103.85,4.19,6,2.11,1,1,0
175.33,38.25,5,9.62,4,0,0
17.57,15.85,20,10.81,4,0,0
316.53,36.49,18,0.13,5,0,0
326.72,43.43,4,1.22,5,1,0
85.7,25.98,11,4.59,1,0,0
125.56,43.94,4,8.04,1,1,0
40.41,65.83,19,16.72,3,0,0
106.73,33.15,5,1.19,5,1,0
46.22,42.86,17,0.7,1,1,0
27.61,28.65,4,7.33,4,1,0
190.02,21.84,4,0.45,3,0,0
32.31,16.51,8,7.33,1,0,0
96.96,40.79,18,7.59,2,1,0
38.32,43.41,20,4.6,2,0,0
127.21,58.19,5,2.04,1,0,0
68.39,5.77,3,0.78,1,1,0
87.87,21.5,6,1.0,2,0,0
44.2,62.47,2,13.18,5,1,0
70.85,54.03,16,19.67,5,0,0
5.91,71.68,18,8.67,4,0,0
37.14,7.92,18,2.6,2,0,0
232.66,21.05,7,9.66,5,1,0
78.01,30.34,18,6.81,4,1,0
497.79,34.8,4,10.6,3,0,0
8.73,36.16,3,9.5,3,0,0
8.53,64.01,1,10.71,5,0,0
8.51,3.8,16,19.3,4,1,0
304.58,38.76,17,14.98,1,1,0
22.81,34.88,8,19.27,1,1,0
177.14,61.02,15,13.78,3,1,0
58.36,27.01,17,33.49,2,1,0
22.0,19.88,13,6.09,5,0,0
192.65,27.19,2,2.19,2,0,0
228.59,13.33,18,14.23,2,0,0
61.64,59.08,14,0.61,1,1,0
25.11,29.71,6,14.69,2,0,0
284.37,46.94,20,10.34,2,0,0
64.02,33.63,1,18.33,4,1,0
21.64,71.32,13,7.33,4,1,0
17.33,37.94,11,2.51,5,1,0
216.23,36.16,6,12.32,3,1,0
11.7,1.31,20,1.62,3,0,0
84.53,62.56,5,2.43,3,0,0
67.01,46.97,10,4.63,1,1,0
45.82,68.39,1,2.26,5,1,0
379.82,64.15,15,18.0,4,1,0
68.95,62.79,5,4.08,1,1,0
10.79,69.5,4,6.91,3,1,0
21.4,51.92,20,24.01,3,1,0
98.61,59.07,16,1.38,5,1,0
438.5,20.6,3,3.74,4,1,0
62.54,10.07,8,5.91,4,0,0
163.57,67.34,15,0.23,2,0,0
53.01,15.78,12,12.05,3,0,0
98.26,36.41,9,11.71,2,1,0
14.24,29.72,16,5.73,2,1,0
125.38,42.78,15,1.06,3,0,0
66.28,54.56,12,0.95,2,1,0
9.85,56.87,15,1.97,4,1,0
197.05,19.72,18,13.77,1,1,0
23.62,58.81,9,11.05,4,1,0
82.35,10.02,17,6.45,3,1,0
108.61,27.99,1,6.37,2,1,0
33.42,60.77,9,6.85,2,1,0
49.15,16.15,14,17.99,3,0,0
26.9,16.31,17,0.97,4,0,0
31.61,2.64,8,8.68,1,0,0
15.65,47.01,14,5.26,1,0,0
9.33,36.0,4,8.41,4,1,0
175.09,12.06,19,1.89,4,1,0
13.65,41.3,4,5.23,1,0,0
73.23,17.79,13,4.03,4,0,0
11.45,27.99,12,14.78,2,1,0
123.41,66.47,17,21.44,4,1,0
80.41,9.61,4,4.17,1,0,0
237.69,53.14,10,0.39,1,0,0
144.76,28.55,15,8.72,3,0,0
30.08,26.24,19,0.68,5,0,0
330.08,31.91,14,4.75,5,0,0
24.95,12.18,10,10.23,5,0,0
500,66.12,9,6.72,1,0,0
107.39,29.0,15,0.32,4,1,0
178.55,49.85,10,0.81,3,0,0
74.4,45.0,18,13.72,2,0,0
357.29,59.65,6,4.01,1,1,0
28.47,39.66,12,0.5,3,0,0
28.19,58.92,12,3.22,1,1,0
29.95,15.99,1,7.13,2,0,0
64.58,56.94,19,8.66,2,1,0
47.35,27.34,5,10.5,1,1,0
20.77,61.3,10,15.59,2,1,0
58.78,53.41,12,19.63,1,1,0
33.75,23.64,8,0.24,3,0,0
500,1.26,8,2.27,1,0,0
79.9,46.31,3,4.87,4,1,0
877.37,4.04,11,136.52,3,1,1
36.18,10.51,4,4.15,2,1,0
79.42,63.81,13,5.48,2,0,0
26.55,32.95,1,3.23,5,0,0
21.64,54.41,12,15.41,3,1,0
65.69,70.86,20,15.16,1,1,0
38.65,21.44,16,4.62,2,1,0
32.17,29.66,9,2.78,5,0,0
187.2,62.55,8,3.36,4,0,0
86.35,33.52,1,0.32,5,1,0
134.41,22.06,5,3.77,1,0,0
34.9,7.81,13,6.78,4,0,0
49.7,2.4,16,9.36,3,0,0
54.12,4.63,7,2.63,5,0,0
47.38,70.85,2,6.53,5,0,0
169.44,55.06,3,1.73,2,1,0
154.99,22.99,15,0.31,3,1,0
102.33,16.37,18,6.54,2,0,0
68.16,48.54,18,8.56,4,0,0
12.5,61.21,20,9.22,5,0,0
128.36,33.12,20,5.76,4,0,0
354.86,39.14,18,3.31,1,1,0
75.37,33.24,11,7.09,1,0,0
272.08,41.69,16,8.18,2,1,0
328.41,55.76,15,2.27,1,0,0
60.34,22.2,7,17.42,3,1,0
25.9,66.63,20,2.75,2,1,0
266.41,20.56,7,9.34,4,0,0
277.98,58.72,13,8.52,2,1,0
116.24,66.54,18,1.3,1,0,0
28.44,7.51,6,2.15,5,1,0
89.1,16.27,2,13.72,3,0,0
144.35,63.53,12,2.25,2,1,0
62.69,43.46,13,15.3,2,1,0
46.92,58.21,17,0.41,5,0,0
160.26,3.04,11,1.61,2,1,0
500,64.32,2,26.35,3,1,0
32.07,50.92,6,12.48,3,1,0
245.48,18.09,11,16.4,4,1,0
55.04,25.87,13,11.38,1,0,0
40.7,37.29,8,4.61,5,0,0
10.66,13.62,18,44.33,1,0,0
99.38,71.51,7,3.72,1,1,0
35.8,42.84,18,11.61,3,0,0
47.64,69.04,14,1.73,5,1,0
17.67,63.98,2,17.53,1,0,0
108.83,54.98,8,33.12,1,1,0
22.87,49.6,14,0.92,2,0,0
31.4,59.7,19,4.25,4,0,0
23.64,53.83,9,6.05,5,0,0
16.48,69.29,14,3.02,3,1,0
23.53,40.88,5,11.86,1,1,0
14.25,60.08,14,18.26,1,0,0
137.1,29.09,20,17.17,4,1,0
54.63,64.66,10,0.32,4,1,0
10.44,44.33,6,4.64,2,0,0
22.84,7.08,14,5.36,2,1,0
13.45,35.28,17,1.8,2,1,0
130.63,43.54,7,14.96,4,1,0
160.35,44.63,9,2.2,1,1,0
229.38,40.45,11,6.46,2,0,0
58.03,13.69,19,7.98,1,0,0
91.03,44.38,19,0.45,1,0,0
38.88,21.34,3,0.93,1,1,0
78.14,71.21,18,6.23,1,1,0
250.66,51.89,7,5.01,3,0,0
76.08,11.77,5,6.15,3,1,0
7.36,4.93,4,5.84,3,0,0
17.99,2.03,15,12.42,1,0,0
14.46,24.18,12,3.26,4,1,0
79.45,11.99,15,12.5,1,1,0
45.51,17.25,19,7.08,1,1,0
70.25,2.42,17,0.87,4,1,0
55.06,67.74,2,27.71,3,0,0
47.12,0.55,5,1.29,6,0,1
136.83,42.2,7,1.29,1,0,0
165.91,48.65,1,11.55,3,0,0
74.66,21.2,14,10.56,1,0,0
147.24,55.31,3,0.88,5,0,0
149.72,33.06,5,2.42,5,1,0
178.83,24.53,12,20.38,3,0,0
156.26,57.79,12,5.2,5,0,0
61.06,47.83,3,4.85,3,0,0
29.35,19.45,10,0.08,5,0,0
380.1,61.23,2,3.52,5,1,0
21.45,34.39,2,7.11,4,1,0
25.48,51.6,9,4.41,4,1,0
66.86,41.84,8,0.54,1,1,0
20.37,17.96,7,1.88,3,0,0
257.21,65.62,19,1.53,2,0,0
35.85,64.9,2,4.83,1,1,0
5,57.77,14,4.28,3,1,0
79.43,60.27,7,0.97,5,0,0
16.59,15.83,17,20.76,5,1,0
9.64,70.23,12,0.62,3,1,0
30.04,8.38,1,5.32,5,0,0
120.33,66.8,11,19.02,5,0,0
43.77,4.54,16,14.99,4,0,0
187.89,24.79,20,19.45,4,1,0
29.87,58.5,15,6.96,3,0,0
7.91,39.7,7,0.11,4,0,0
18.3,25.69,13,2.21,1,0,0
46.17,34.03,20,3.28,4,1,0
62.54,52.98,17,1.08,4,1,0
58.69,1.49,12,0.36,1,1,0
22.99,18.26,2,6.96,4,0,0
24.6,28.51,20,7.45,3,1,0
17.35,40.28,1,11.45,5,1,0
21.27,4.42,13,2.72,5,0,0
17.31,24.15,13,26.7,2,0,0
38.65,33.75,5,0.3,1,0,0
212.58,6.07,18,0.67,3,1,0
17.09,10.34,9,2.62,4,0,0
54.1,61.51,3,7.98,5,1,0
143.58,11.63,3,22.61,5,0,0
30.41,41.28,14,1.53,1,1,0
19.55,68.99,11,4.17,2,0,0
21.35,64.88,5,12.94,4,1,0
19.42,32.83,14,0.17,3,0,0
500,3.13,4,5.46,2,1,0
212.24,2.7,18,3.4,1,1,0
383.93,33.67,20,15.7,2,1,0
9.95,8.7,10,10.21,4,1,0
26.2,51.39,9,10.53,3,0,0
26.9,11.29,20,4.86,4,1,0
26.28,69.26,3,24.45,4,1,0
73.78,44.62,2,10.51,4,0,0
36.42,41.46,18,6.65,2,0,0
54.65,18.08,12,4.1,2,1,0
500,27.87,10,1.09,1,1,0
376.11,36.45,17,23.5,3,1,0
76.46,30.49,1,11.13,3,1,0
183.46,38.1,1,5.1,4,0,0
41.23,44.31,7,11.15,4,1,0
30.88,59.91,9,7.83,2,1,0
47.7,15.3,17,5.9,2,1,0
20.1,2.11,10,8.69,3,1,0
80.85,36.03,9,3.39,4,0,0
31.44,63.64,19,7.64,2,0,0
39.67,40.61,7,4.3,4,1,0
32.88,44.55,15,2.15,4,0,0
5,45.16,6,3.67,3,0,0
232.3,42.58,18,11.7,5,0,0
38.96,5.72,18,2.34,3,1,0
74.83,69.53,6,2.37,1,0,0
80.5,49.61,12,0.04,2,1,0
36.75,68.69,8,0.48,1,1,0
31.09,6.15,18,6.4,1,0,0
79.06,12.36,14,7.26,4,1,0
31.76,34.31,12,4.17,1,1,0
247.81,10.54,15,11.9,3,1,0
87.35,49.55,20,30.45,1,1,0
47.56,60.1,14,9.1,3,0,0
14.38,13.08,11,5.59,4,1,0
70.71,29.8,4,3.15,1,1,0
8.9,29.91,13,1.76,1,1,0
35.16,11.07,1,0.77,5,0,0
8.43,30.43,18,4.96,5,0,0
72.24,23.18,7,9.98,5,0,0
11.36,71.5,2,8.65,4,1,0
333.65,8.37,1,7.66,4,0,0
83.02,6.28,7,0.39,4,1,0
15.84,66.26,6,6.48,4,1,0
34.17,41.66,3,11.37,5,1,0
120.35,1.31,4,20.64,5,1,0
500,44.01,2,9.39,2,1,0
72.68,26.54,18,88.82,4,0,0
14.03,33.2,2,4.12,4,0,0
87.56,22.92,17,18.37,3,0,0
25.18,48.18,19,5.29,1,0,0
83.27,49.92,20,4.17,1,1,0
53.91,39.7,4,0.09,2,0,0
64.46,68.51,8,3.97,2,1,0
67.23,47.94,20,8.18,2,0,0
146.81,4.72,14,3.82,2,1,0
18.06,41.67,14,11.64,8,1,0
77.07,35.66,9,4.58,1,1,0
26.34,9.62,19,8.98,1,0,0
85.69,40.65,1,9.45,4,0,0
84.93,2.16,17,3.9,4,1,0
116.02,46.73,13,6.77,5,0,0
18.71,12.07,19,1.46,3,1,0
37.41,43.09,16,5.46,5,1,0
71.34,65.5,4,4.51,3,1,0
117.01,36.09,7,4.31,1,1,0
250.69,2.21,8,14.49,4,0,0
39.78,42.66,10,5.55,5,0,0
142.32,57.53,19,12.21,3,1,0
34.72,45.55,17,0.03,1,1,0
10.95,61.84,6,17.7,1,0,0
81.87,14.69,4,3.21,4,1,0
198.81,65.39,19,6.65,1,0,0
500,65.99,7,4.93,4,1,0
293.06,16.83,9,2.86,1,0,0
87.4,27.81,16,2.84,5,0,0
8.36,32.22,16,4.67,3,1,0
41.0,20.53,19,6.36,3,1,0
189.38,41.76,18,0.74,2,1,0
56.16,12.8,20,0.46,2,1,0
119.7,35.38,3,3.58,2,1,0
239.03,5.25,7,3.62,2,0,0
88.41,46.58,13,10.14,5,1,0
40.54,2.61,20,17.2,4,0,0
5,70.26,5,0.22,2,1,0
45.72,1.26,16,3.58,3,1,0
47.64,25.34,9,5.63,3,0,0
51.05,10.65,8,12.47,3,0,0
26.43,37.9,13,8.5,3,1,0
325.88,50.36,7,7.82,2,0,0
146.48,23.8,2,9.49,5,1,0
47.96,17.77,7,4.59,2,0,0
80.72,13.39,16,6.53,2,1,0
33.46,33.73,5,3.54,1,1,0
128.22,20.03,15,20.34,4,1,0
18.46,43.34,8,9.3,3,0,0
16.39,7.62,4,4.95,1,0,0
5.11,17.81,9,15.23,4,1,0
26.06,49.07,4,3.81,5,1,0
58.27,15.15,1,7.77,2,0,0
83.71,11.7,16,1.96,4,1,0
29.93,10.33,4,6.84,1,1,0
54.28,17.36,3,4.4,1,1,0
230.72,7.63,12,2.31,3,0,0
160.14,47.29,17,1.61,3,1,0
132.31,33.91,8,8.34,2,1,0
57.55,47.92,15,6.06,4,1,0
653.39,23.54,2,248.52,10,0,1
93.6,22.08,18,12.73,2,1,0
21.42,64.05,8,4.95,3,1,0
112.59,34.54,5,0.04,5,0,0
36.65,7.53,8,17.19,3,1,0
88.59,31.33,9,15.48,5,1,0
64.75,66.16,12,25.02,4,1,0
32.72,10.46,12,4.15,1,1,0
51.78,54.39,18,0.97,1,0,0
40.02,43.55,12,2.33,3,1,0
11.94,9.97,8,9.77,5,1,0
48.31,35.14,12,1.66,5,1,0
53.62,24.6,13,9.25,4,0,0
32.57,20.01,5,8.94,2,1,0
44.8,54.28,19,7.54,4,1,0
302.42,45.15,19,4.33,2,1,0
26.95,23.56,6,1.3,1,0,0
133.07,12.19,18,3.72,3,1,0
33.48,56.2,7,7.11,5,1,0
103.69,18.05,13,0.75,2,0,0
31.19,10.02,10,4.91,5,0,0
53.18,49.35,19,3.86,2,0,0
220.49,44.68,2,3.57,1,0,0
69.31,23.53,12,7.21,1,1,0
77.06,40.24,10,8.15,3,0,0
95.53,17.2,5,15.73,5,0,0
