sol,earth_date,min_temp_c,max_temp_c,pressure_pa,wind_speed_ms,uv_index,instrument_status
1065,2026-11-30,-63.6,-10.1,674.0,29.9,2,nominal
1066,2026-12-01,-68.1,-12.0,611.2,9.1,9,nominal
1067,2026-12-02,-84.1,,758.4,18.4,6,nominal
1068,2026-12-03,-79.0,-10.8,786.9,28.2,10,nominal
1069,2026-12-04,-68.2,-3.1,638.1,18.6,4,nominal
1069,2026-12-04,-68.2,-3.1,638.1,18.6,4,nominal
1070,2026-12-05,-63.7,-13.9,679.3,25.9,7,nominal
1071,2026-12-06,-66.9,-3.3,817.6,22.0,0,nominal
1072,2026-12-07,-84.0,-20.2,618.7,,5,nominal
1073,2026-12-08,-81.4,-14.3,840.9,,3,nominal
1074,2026-12-09,-71.5,-25.5,586.7,10.6,9,warning
1075,2026-12-10,-81.3,-24.3,764.0,4.5,,nominal
1076,2026-12-11,-84.2,,644.6,12.1,7,nominal
1077,2026-12-12,-72.7,-26.1,755.1,30.0,,nominal
1078,2026-12-13,-75.4,-11.4,696.7,18.0,2,nominal
1079,2026-12-14,-76.0,-22.1,680.1,17.9,5,offline
1080,2026-12-15,-75.8,-15.8,739.9,30.5,5,nominal
1081,2026-12-16,-76.4,-3.7,853.8,8.3,5,nominal
1082,2026-12-17,-63.0,-6.2,677.6,28.7,1,nominal
1083,2026-12-18,-58.7,-8.4,763.7,27.7,7,nominal
1084,2026-12-19,-62.5,-21.6,663.6,16.4,1,nominal
1085,2026-12-20,-87.2,-7.3,709.3,7.4,2,nominal
1086,2026-12-21,-68.1,-3.5,615.0,4.7,4,nominal
1087,2026-12-22,-83.8,-3.8,756.0,4.6,9,nominal
1088,2026-12-23,-68.5,-12.7,761.0,33.7,7,nominal
1089,2026-12-24,-64.6,-17.1,733.1,30.8,10,nominal
1090,2026-12-25,-80.2,-25.5,630.4,29.3,,nominal
1091,2026-12-26,,-8.5,812.9,11.0,6,nominal
1092,2026-12-27,-74.7,,695.3,25.4,6,nominal
1093,2026-12-28,-61.0,-20.8,604.9,13.3,5,nominal
1094,2026-12-29,-88.1,-8.8,797.9,31.7,6,nominal
1095,2026-12-30,-66.9,-8.1,840.1,,2,nominal
1096,2026-12-31,-64.6,-17.7,,31.6,5,nominal
1097,2027-01-01,-86.6,-26.4,818.6,24.6,,nominal
1098,2027-01-02,-86.1,-24.0,614.0,24.5,8,nominal
1099,2027-01-03,-85.3,-27.8,615.6,,11,warning
1100,2027-01-04,-80.9,-15.6,645.7,29.1,5,nominal
1101,2027-01-05,-86.0,-19.3,744.5,21.0,1,nominal
1102,2027-01-06,-59.4,-27.3,603.7,23.6,6,nominal
1103,2027-01-07,-63.1,-9.7,562.4,25.0,5,nominal
1104,2027-01-08,-60.9,-16.6,675.9,31.0,10,nominal
1105,2027-01-09,-76.9,-15.4,765.1,28.2,10,nominal
1106,2027-01-10,-80.4,-16.2,651.7,14.2,7,nominal
1107,2027-01-11,-69.2,-14.7,789.1,9.0,5,nominal
1108,2027-01-12,-70.9,-6.4,815.7,22.8,3,nominal
1109,2027-01-13,-84.1,-21.5,755.9,13.3,9,nominal
1110,2027-01-14,-69.3,-25.2,758.7,26.3,8,nominal
1111,2027-01-15,-81.3,-23.9,732.2,24.0,5,nominal
1112,2027-01-16,-62.2,-18.7,655.0,12.6,1,nominal
1113,2027-01-17,-65.9,-23.9,701.0,33.0,8,nominal
1114,2027-01-18,-71.5,-18.1,584.8,18.1,,nominal
1115,2027-01-19,-88.4,-27.8,712.8,8.8,,offline
1116,2027-01-20,-80.4,-15.0,635.2,17.9,3,nominal
1117,2027-01-21,-86.1,,647.0,11.6,6,nominal
1118,2027-01-22,-61.5,-10.5,589.2,12.4,6,nominal
1119,2027-01-23,-90.8,-14.1,682.3,30.8,6,nominal
1120,2027-01-24,-68.8,-21.3,736.1,16.4,8,offline
1121,2027-01-25,-81.4,-18.6,736.2,30.1,9,nominal
1122,2027-01-26,-67.5,-26.0,645.6,17.1,,warning
1123,2027-01-27,-63.2,-25.1,,18.5,0,nominal
1124,2027-01-28,-78.6,-20.4,655.6,13.0,4,nominal
1125,2027-01-29,-85.5,-30.5,665.5,6.4,3,nominal
1126,2027-01-30,-75.7,-25.1,595.7,9.2,6,nominal
1127,2027-01-31,-65.4,-16.1,722.7,28.4,,nominal
1128,2027-02-01,-62.8,-16.6,573.9,28.1,4,nominal
1128,2027-02-01,-62.8,-16.6,573.9,28.1,4,nominal
1129,2027-02-02,-75.7,-27.1,786.8,14.6,2,offline
1130,2027-02-03,-86.8,-20.1,804.6,12.1,9,nominal
1131,2027-02-04,,-15.9,776.9,6.8,6,nominal
1132,2027-02-05,-75.8,-21.9,708.0,33.7,8,nominal
1133,2027-02-06,-64.0,-27.9,807.8,8.6,0,nominal
1134,2027-02-07,-80.7,-24.7,557.5,19.4,0,nominal
1135,2027-02-08,-69.8,-16.0,640.9,12.0,0,nominal
1136,2027-02-09,-86.2,-29.1,838.2,12.0,2,nominal
1137,2027-02-10,-72.8,-21.6,729.7,15.3,8,nominal
1138,2027-02-11,-86.7,-9.4,,34.4,2,offline
1139,2027-02-12,-91.8,-22.5,789.7,18.4,9,nominal
1140,2027-02-13,-78.0,-13.5,561.0,27.9,11,offline
1141,2027-02-14,-72.9,-21.7,766.9,12.5,,offline
1142,2027-02-15,-83.7,-8.9,608.4,21.5,6,nominal
1143,2027-02-16,-87.9,-31.9,768.2,28.0,3,nominal
1144,2027-02-17,-68.6,-24.4,768.4,15.5,7,nominal
1145,2027-02-18,-83.2,-29.1,754.6,25.8,,warning
1146,2027-02-19,-78.6,-24.9,702.7,19.2,11,nominal
1147,2027-02-20,-76.5,-12.0,615.7,32.9,7,nominal
1148,2027-02-21,-76.2,-25.7,622.7,22.9,10,nominal
1149,2027-02-22,-80.8,-8.8,650.1,15.2,4,nominal
1150,2027-02-23,-80.4,-27.4,623.0,28.2,5,nominal
1151,2027-02-24,-71.3,-29.6,678.6,,11,nominal
1152,2027-02-25,-68.1,-16.5,825.5,25.0,10,nominal
1153,2027-02-26,-91.0,-32.5,550.1,31.6,2,nominal
1154,2027-02-27,-91.4,-18.2,591.7,17.7,4,nominal
1155,2027-02-28,-92.7,-12.3,749.6,24.7,7,nominal
1156,2027-03-01,-65.8,-13.8,,23.7,3,nominal
1157,2027-03-02,-89.3,-8.8,588.0,25.4,4,offline
1158,2027-03-03,-65.9,-17.1,,25.5,4,warning
1159,2027-03-04,-91.9,-33.1,806.2,11.1,2,nominal
1160,2027-03-05,-69.4,-15.3,762.5,23.2,9,warning
1160,2027-03-05,-69.4,-15.3,762.5,23.2,9,warning
1161,2027-03-06,-67.7,-25.6,563.0,7.6,,nominal
1162,2027-03-07,-93.7,-25.0,653.3,21.8,5,nominal
1163,2027-03-08,-73.6,-12.6,773.7,11.5,6,nominal
1164,2027-03-09,-70.1,-22.7,,19.6,8,offline
1165,2027-03-10,-92.3,-13.4,675.8,17.1,9,nominal
1166,2027-03-11,-74.6,-33.2,,30.2,4,nominal
1167,2027-03-12,-82.3,-23.5,838.4,27.1,4,nominal
1168,2027-03-13,-70.4,-18.3,642.7,20.9,0,nominal
1169,2027-03-14,-87.3,-9.6,719.2,12.7,8,nominal
1170,2027-03-15,-93.7,-31.1,775.9,10.5,10,nominal
1171,2027-03-16,-91.5,-11.1,644.0,19.0,,nominal
1172,2027-03-17,-87.2,-15.0,789.6,31.0,2,nominal
1173,2027-03-18,-79.1,-22.4,735.7,26.1,5,nominal
1174,2027-03-19,-67.2,-19.0,842.3,25.5,1,nominal
1175,2027-03-20,-66.8,-18.7,560.5,28.0,6,nominal
1176,2027-03-21,-80.1,-19.9,760.9,31.6,11,nominal
1177,2027-03-22,-84.9,,821.8,3.3,3,nominal
1178,2027-03-23,-72.1,-34.4,646.5,16.1,2,nominal
1179,2027-03-24,-64.8,-16.5,654.3,20.8,0,nominal
1180,2027-03-25,-93.0,-27.2,841.4,6.1,4,nominal
1181,2027-03-26,-83.8,-22.3,773.9,14.1,0,nominal
1182,2027-03-27,-69.2,-25.7,581.0,9.7,5,nominal
1183,2027-03-28,-86.5,-13.7,717.7,18.0,1,warning
1184,2027-03-29,-85.9,-12.4,778.4,2.9,6,nominal
1185,2027-03-30,-77.2,-32.1,696.0,15.6,5,nominal
1186,2027-03-31,-92.4,-30.6,747.6,18.5,1,nominal
1187,2027-04-01,-70.2,-17.8,624.8,13.6,10,nominal
1188,2027-04-02,-87.7,-24.1,737.4,12.9,8,nominal
1189,2027-04-03,-87.4,-13.5,590.9,13.8,10,nominal
1190,2027-04-04,-91.1,,746.0,4.7,10,nominal
1191,2027-04-05,-74.4,-31.6,619.3,,9,nominal
1192,2027-04-06,-88.7,-31.3,771.4,24.5,5,nominal
1193,2027-04-07,-69.2,-31.3,671.0,,,nominal
1194,2027-04-08,-81.0,-33.4,821.1,2.5,7,nominal
1195,2027-04-09,-82.2,-34.6,790.3,16.5,9,nominal
1196,2027-04-10,-80.7,-25.2,603.0,7.2,2,nominal
1197,2027-04-11,-75.7,-31.4,635.3,11.6,4,warning
1198,2027-04-12,-93.1,-11.1,587.4,27.4,4,nominal
1199,2027-04-13,-79.1,-30.4,704.5,16.1,,nominal
1200,2027-04-14,-89.2,-32.3,647.5,23.1,4,warning
1200,2027-04-14,-89.2,-32.3,647.5,23.1,4,warning
1201,2027-04-15,,-26.1,669.8,18.9,3,nominal
1202,2027-04-16,-88.2,-11.1,561.0,2.3,9,nominal
1203,2027-04-17,-92.8,-18.0,849.1,13.3,2,nominal
1204,2027-04-18,-82.7,-10.2,749.4,26.9,3,nominal
1205,2027-04-19,-78.9,-19.3,785.0,,11,nominal
1206,2027-04-20,-70.5,-29.6,680.5,10.3,1,nominal
1207,2027-04-21,-84.3,-23.7,766.0,1.2,1,nominal
1208,2027-04-22,-93.6,-30.5,805.6,,4,nominal
1209,2027-04-23,-73.2,-25.8,784.7,23.4,,nominal
1210,2027-04-24,-83.7,-21.6,763.3,27.5,1,nominal
1211,2027-04-25,-70.6,-28.3,714.3,17.4,10,nominal
1212,2027-04-26,-68.3,-31.0,857.6,16.9,9,nominal
1213,2027-04-27,-87.1,-29.6,778.7,24.1,0,nominal
1214,2027-04-28,-91.5,-17.6,829.2,8.0,11,nominal
1215,2027-04-29,-72.8,-31.5,714.6,17.3,3,nominal
1216,2027-04-30,-78.7,-32.8,,4.1,4,nominal
1217,2027-05-01,-90.7,-15.1,769.4,4.0,2,nominal
1218,2027-05-02,,,857.8,,0,offline
1219,2027-05-03,-93.9,-26.8,787.6,25.7,9,nominal
1220,2027-05-04,-78.6,-25.5,796.8,24.0,9,nominal
1221,2027-05-05,-79.7,-27.5,648.5,6.5,8,nominal
1222,2027-05-06,-92.5,,790.1,,0,nominal
1223,2027-05-07,-94.6,-28.2,635.1,12.2,5,nominal
1224,2027-05-08,-87.6,-31.0,642.5,8.8,5,nominal
1225,2027-05-09,-93.4,-16.8,749.5,3.6,3,nominal
1226,2027-05-10,-94.1,-19.0,753.2,30.3,8,nominal
1227,2027-05-11,-87.0,-21.4,829.7,29.6,11,nominal
1228,2027-05-12,-80.4,-12.6,637.6,8.1,11,offline
1229,2027-05-13,-90.3,-24.6,766.6,24.1,,nominal
1230,2027-05-14,-68.1,-15.6,602.7,24.1,8,nominal
1231,2027-05-15,-69.8,-27.2,858.5,14.2,5,offline
1232,2027-05-16,,-25.2,727.2,8.2,3,warning
1233,2027-05-17,-85.7,-20.0,808.9,17.8,0,offline
1234,2027-05-18,-69.5,-27.5,,6.8,9,warning
1235,2027-05-19,-68.7,-28.4,840.1,9.1,5,nominal
1236,2027-05-20,-87.6,-30.8,596.1,5.7,9,nominal
1237,2027-05-21,-88.3,-19.4,755.1,8.9,3,nominal
1238,2027-05-22,-72.5,-10.3,841.6,21.4,8,nominal
1239,2027-05-23,-81.9,,825.7,29.9,0,nominal
1240,2027-05-24,-81.7,-20.4,818.1,18.9,0,nominal
1241,2027-05-25,-69.4,-19.2,855.3,30.5,0,nominal
1242,2027-05-26,-91.7,-18.9,810.1,29.4,10,offline
1243,2027-05-27,-83.7,-33.3,609.6,33.3,3,nominal
1244,2027-05-28,-86.7,-27.0,669.5,5.8,4,nominal
1245,2027-05-29,-71.5,-13.1,757.7,26.9,,nominal
1246,2027-05-30,-73.0,-30.9,607.6,27.0,0,nominal
1247,2027-05-31,-81.8,-18.6,814.7,26.5,6,nominal
1248,2027-06-01,-70.7,-27.4,671.8,5.3,6,nominal
1249,2027-06-02,-70.8,-17.5,612.8,10.1,8,nominal
1250,2027-06-03,-69.8,-9.0,804.5,14.1,3,nominal
1251,2027-06-04,-87.2,-17.4,,7.6,1,warning
1252,2027-06-05,-63.7,-19.0,590.6,12.6,9,nominal
1253,2027-06-06,-81.3,-18.5,743.3,32.3,6,offline
1254,2027-06-07,-74.1,-14.4,795.7,24.3,7,nominal
1255,2027-06-08,-64.7,-27.1,671.4,7.2,0,offline
1256,2027-06-09,-88.0,-28.5,628.1,27.6,3,nominal
1257,2027-06-10,-91.5,-17.6,579.9,20.9,2,nominal
1258,2027-06-11,-87.9,-27.7,741.9,34.1,3,nominal
1259,2027-06-12,-66.1,-20.0,771.0,21.1,0,nominal
1260,2027-06-13,-88.7,-15.6,757.2,14.6,8,nominal
1261,2027-06-14,-90.1,-19.1,746.4,14.7,10,nominal
1262,2027-06-15,-67.9,-10.8,804.9,28.7,5,nominal
1263,2027-06-16,-80.8,,,27.7,8,nominal
1264,2027-06-17,-86.0,-32.5,831.4,17.5,6,nominal
1265,2027-06-18,-90.3,-15.9,820.5,14.6,0,nominal
1266,2027-06-19,-73.6,-30.7,797.9,6.2,6,offline
1267,2027-06-20,,-28.9,796.0,11.2,4,nominal
1268,2027-06-21,-70.9,-21.1,,16.8,6,warning
1269,2027-06-22,-77.5,-16.7,720.0,16.2,,nominal
1270,2027-06-23,-64.1,-15.3,657.0,33.8,3,nominal
1271,2027-06-24,-64.2,-27.1,853.4,16.8,7,nominal
1272,2027-06-25,-71.7,-30.1,628.0,16.2,3,offline
1273,2027-06-26,-75.6,-7.6,692.2,10.5,7,nominal
1274,2027-06-27,,-17.4,594.2,30.8,4,nominal
1275,2027-06-28,-78.2,-14.7,829.9,16.8,8,nominal
1276,2027-06-29,-64.3,-29.8,830.9,24.0,7,nominal
1277,2027-06-30,-79.0,-17.3,683.2,29.8,11,warning
1278,2027-07-01,-75.4,-9.6,836.0,10.2,10,nominal
1279,2027-07-02,-76.7,-13.9,745.4,24.0,6,warning
1280,2027-07-03,-76.5,-8.9,737.9,29.2,0,nominal
1281,2027-07-04,-84.6,-22.5,785.0,7.5,6,warning
1282,2027-07-05,-88.0,-24.6,754.1,26.9,8,nominal
1283,2027-07-06,-62.0,-12.2,870.2,21.7,8,offline
1284,2027-07-07,-65.0,-7.2,622.2,32.5,5,nominal
1285,2027-07-08,-69.3,-13.0,659.8,34.1,10,nominal
1286,2027-07-09,-88.8,-28.7,,23.8,8,nominal
1287,2027-07-10,-63.0,-24.8,748.6,18.4,7,nominal
1288,2027-07-11,-79.2,-28.7,770.1,26.6,10,nominal
1289,2027-07-12,-63.1,-17.9,801.9,,2,nominal
1290,2027-07-13,-80.9,-17.3,706.3,10.6,10,nominal
1291,2027-07-14,,-20.6,805.5,14.9,7,nominal
1292,2027-07-15,-67.8,-8.9,668.1,10.5,8,nominal
1293,2027-07-16,-84.6,-24.0,873.6,25.5,11,nominal
1294,2027-07-17,-73.6,-7.5,760.3,8.1,6,nominal
1295,2027-07-18,-68.2,-6.6,642.3,33.3,6,nominal
1296,2027-07-19,-79.5,-14.6,795.3,8.0,8,nominal
1297,2027-07-20,-81.8,-20.1,844.9,14.7,,nominal
1298,2027-07-21,-80.4,-14.0,853.6,31.7,,nominal
1299,2027-07-22,-73.9,-11.9,765.3,13.0,0,nominal
1300,2027-07-23,-79.6,-21.2,623.4,26.8,5,nominal
1301,2027-07-24,-82.1,-18.6,847.1,6.2,9,nominal
1302,2027-07-25,-66.1,-27.0,825.0,10.2,6,nominal
1303,2027-07-26,-70.9,-8.2,819.9,5.0,5,nominal
1304,2027-07-27,-62.3,-5.6,760.2,32.2,6,nominal
1305,2027-07-28,-75.4,-17.8,683.1,9.8,7,warning
1306,2027-07-29,-78.6,-14.0,883.3,28.6,5,warning
1307,2027-07-30,-85.1,,,34.3,0,nominal
1308,2027-07-31,-69.3,-13.9,858.4,6.9,3,nominal
1309,2027-08-01,-78.9,-23.2,692.5,19.1,8,nominal
1310,2027-08-02,-79.8,-15.3,780.8,16.2,9,warning
1311,2027-08-03,-74.7,,728.5,33.1,10,nominal
1312,2027-08-04,-83.0,-18.8,659.4,33.3,8,nominal
1313,2027-08-05,-82.2,-26.4,657.2,8.8,10,nominal
1314,2027-08-06,-72.2,-17.4,744.4,10.6,8,nominal
1315,2027-08-07,-67.8,-23.3,652.2,14.9,7,nominal
1316,2027-08-08,-82.9,-13.3,608.3,8.6,1,nominal
1317,2027-08-09,-80.2,-24.9,614.9,30.4,11,nominal
1318,2027-08-10,-74.1,-9.4,664.6,21.2,9,nominal
1319,2027-08-11,-70.2,-11.9,822.1,30.7,1,warning
1320,2027-08-12,-70.5,-23.5,869.3,13.9,5,warning
1321,2027-08-13,-58.8,-20.3,637.4,25.9,7,warning
1322,2027-08-14,-86.3,-18.6,860.9,21.4,7,nominal
1323,2027-08-15,-69.3,-26.7,773.0,17.2,2,nominal
1324,2027-08-16,-65.1,-21.3,814.5,28.5,,nominal
1325,2027-08-17,-66.2,-2.2,643.0,14.8,11,warning
1326,2027-08-18,-69.7,-11.2,885.0,30.4,8,nominal
1327,2027-08-19,-65.1,-16.9,757.8,9.3,10,nominal
1328,2027-08-20,-63.1,-21.1,687.4,12.8,6,nominal
1329,2027-08-21,,-4.2,890.6,29.8,9,nominal
1330,2027-08-22,-68.3,-17.2,612.1,12.7,7,nominal
1331,2027-08-23,-85.6,-15.4,746.4,,9,nominal
1332,2027-08-24,-81.1,-20.4,641.2,24.1,11,nominal
1333,2027-08-25,-65.3,-22.6,721.0,6.5,2,nominal
1334,2027-08-26,-57.6,,886.4,9.3,9,offline
1335,2027-08-27,-69.2,-8.7,743.7,29.6,4,offline
1336,2027-08-28,-84.4,-11.1,726.0,18.9,5,nominal
1337,2027-08-29,-84.5,-4.4,666.1,28.5,,warning
1338,2027-08-30,-56.9,,779.2,13.4,11,nominal
1339,2027-08-31,-76.5,-14.1,716.7,,5,nominal
1340,2027-09-01,-57.9,-5.1,617.1,32.6,0,nominal
1341,2027-09-02,-79.5,-9.0,742.8,24.5,1,nominal
1342,2027-09-03,-68.4,,642.4,12.3,,warning
1343,2027-09-04,-82.4,-23.8,719.7,29.8,7,nominal
1344,2027-09-05,-82.1,-13.0,814.3,32.5,5,nominal
1345,2027-09-06,-58.8,-17.7,741.9,,,nominal
1346,2027-09-07,-56.5,-4.0,778.2,5.5,6,nominal
1347,2027-09-08,,-3.4,813.6,15.8,2,nominal
1348,2027-09-09,-77.7,-22.5,,9.7,7,warning
1349,2027-09-10,-67.5,,703.5,26.2,2,nominal
1350,2027-09-11,,-14.4,,15.0,4,nominal
1351,2027-09-12,-57.0,-18.1,735.1,26.7,7,nominal
1352,2027-09-13,-81.1,-17.0,656.2,27.6,0,nominal
1353,2027-09-14,-64.1,-22.2,635.5,,7,nominal
1354,2027-09-15,-74.8,-16.8,846.1,18.3,,nominal
1355,2027-09-16,-75.1,2.3,635.8,25.2,0,nominal
1356,2027-09-17,-57.8,0.8,735.0,19.8,7,nominal
1357,2027-09-18,-69.9,-7.2,841.9,4.6,6,nominal
1358,2027-09-19,-74.7,-1.4,846.0,14.5,3,warning
1359,2027-09-20,-78.6,-6.8,859.8,3.4,4,nominal
1360,2027-09-21,-80.4,-10.4,889.4,26.6,1,nominal
1361,2027-09-22,-62.0,-15.3,873.5,28.2,8,nominal
1362,2027-09-23,-55.1,-2.1,753.6,5.5,1,nominal
1363,2027-09-24,-52.6,1.7,771.9,25.5,1,nominal
1364,2027-09-25,-67.8,0.6,726.7,16.3,3,nominal
1365,2027-09-26,-79.4,-20.6,782.3,13.4,5,nominal
1366,2027-09-27,-72.1,-11.0,850.1,20.8,2,nominal
1367,2027-09-28,-68.3,1.6,666.2,22.4,6,nominal
1368,2027-09-29,-79.5,-12.0,,8.3,1,nominal
1369,2027-09-30,-75.4,-13.6,890.1,21.2,8,nominal
1370,2027-10-01,-54.8,-4.1,814.7,5.8,10,nominal
1371,2027-10-02,-68.9,-14.2,702.2,,0,nominal
1372,2027-10-03,-77.2,-16.7,917.5,10.9,3,nominal
1373,2027-10-04,-56.5,-14.6,784.0,16.1,8,nominal
1374,2027-10-05,-50.3,-1.2,757.5,17.3,6,nominal
1375,2027-10-06,-62.3,-0.9,841.8,10.8,9,nominal
1376,2027-10-07,-73.3,-1.7,893.1,10.4,3,nominal
1377,2027-10-08,-58.6,3.2,733.3,29.0,,nominal
1378,2027-10-09,-73.7,-12.2,634.0,17.4,6,nominal
1379,2027-10-10,,-1.8,804.3,,8,nominal
1380,2027-10-11,-54.2,-15.5,707.8,13.8,6,nominal
1381,2027-10-12,-67.2,-9.6,706.2,13.3,10,nominal
1382,2027-10-13,-62.4,-11.1,779.1,17.7,,nominal
1383,2027-10-14,-75.0,-15.4,807.2,6.2,10,offline
1384,2027-10-15,-68.1,-16.9,651.5,21.4,0,nominal
1385,2027-10-16,-69.1,-8.2,841.1,4.8,,nominal
1386,2027-10-17,-60.5,,719.0,5.2,8,nominal
1387,2027-10-18,-70.0,4.4,887.5,19.6,6,nominal
1388,2027-10-19,-50.1,,888.9,16.0,7,nominal
1389,2027-10-20,-49.0,-13.1,781.7,19.6,6,nominal
1390,2027-10-21,-73.9,-2.0,861.2,11.5,4,nominal
1391,2027-10-22,-77.4,5.6,758.1,27.2,1,nominal
1392,2027-10-23,-63.2,,724.0,5.6,5,nominal
1393,2027-10-24,-74.6,5.4,886.7,,4,nominal
1394,2027-10-25,-61.2,-14.6,808.2,31.2,7,warning
1395,2027-10-26,-50.7,-8.2,911.1,28.8,4,nominal
1396,2027-10-27,-64.3,-13.3,665.5,6.9,3,nominal
1397,2027-10-28,-56.0,1.4,892.5,18.0,7,nominal
1398,2027-10-29,-71.5,-13.5,834.5,23.0,3,nominal
1399,2027-10-30,-75.7,7.0,709.6,21.8,4,nominal
1400,2027-10-31,-72.3,-11.6,914.0,31.8,4,offline
1401,2027-11-01,-54.3,8.2,769.2,29.4,6,offline
1402,2027-11-02,-71.1,-11.4,884.1,,10,nominal
1403,2027-11-03,-52.0,-14.4,,31.4,0,nominal
1404,2027-11-04,-69.0,2.0,785.9,,9,nominal
1405,2027-11-05,-54.8,0.1,666.4,4.8,6,nominal
1406,2027-11-06,-70.5,-9.3,910.6,31.4,4,nominal
1407,2027-11-07,,-0.5,701.2,24.0,8,nominal
1408,2027-11-08,-68.2,-0.5,680.4,16.6,8,nominal
1409,2027-11-09,-62.5,-0.6,790.9,7.6,11,nominal
1410,2027-11-10,,-8.3,771.7,7.2,6,nominal
1411,2027-11-11,-63.6,-8.7,717.5,30.3,8,nominal
1412,2027-11-12,-70.4,-12.1,831.3,19.7,0,nominal
1413,2027-11-13,-48.8,,851.3,20.0,3,nominal
1414,2027-11-14,,,794.7,17.2,6,nominal
1415,2027-11-15,-46.9,2.4,852.8,7.1,8,nominal
1416,2027-11-16,-52.6,8.1,725.5,13.1,3,nominal
1417,2027-11-17,-50.8,4.9,804.1,7.7,5,nominal
1418,2027-11-18,,4.2,937.6,17.3,6,nominal
1418,2027-11-18,,4.2,937.6,17.3,6,nominal
1419,2027-11-19,-62.6,6.9,738.9,30.8,0,nominal
1420,2027-11-20,-46.7,-4.0,751.1,29.8,,nominal
1421,2027-11-21,-60.3,-5.7,759.7,,9,nominal
1422,2027-11-22,-50.8,-2.9,804.8,12.7,2,nominal
1423,2027-11-23,-50.0,-0.3,802.6,20.6,8,nominal
1424,2027-11-24,-54.9,-4.3,752.2,21.7,2,nominal
1425,2027-11-25,-66.2,-12.7,667.2,17.0,11,offline
1426,2027-11-26,-47.0,-3.6,732.2,6.4,0,offline
1427,2027-11-27,-59.2,-4.6,736.0,32.8,7,nominal
1428,2027-11-28,-54.8,6.7,670.9,24.4,10,nominal
1429,2027-11-29,-64.8,-8.7,823.1,18.5,8,nominal
1430,2027-11-30,-51.0,-3.5,917.3,,8,nominal
1431,2027-12-01,-57.4,-12.5,,8.1,5,nominal
1432,2027-12-02,-60.4,10.7,912.4,16.7,0,nominal
1432,2027-12-02,-60.4,10.7,912.4,16.7,0,nominal
1433,2027-12-03,-57.2,10.7,826.4,31.0,4,nominal
1434,2027-12-04,-67.3,-5.6,779.1,7.2,6,nominal
1435,2027-12-05,-57.6,-10.6,749.0,21.4,11,offline
1436,2027-12-06,-46.6,10.2,676.6,29.0,1,nominal
1437,2027-12-07,,8.0,660.0,21.7,,nominal
1437,2027-12-07,,8.0,660.0,21.7,,nominal
1438,2027-12-08,-43.0,-5.3,854.4,34.2,1,nominal
1439,2027-12-09,-52.2,8.3,801.0,17.0,8,nominal
1440,2027-12-10,-57.3,-8.6,895.5,7.3,9,warning
1441,2027-12-11,,11.2,862.5,6.8,4,nominal
1442,2027-12-12,-65.8,0.4,734.1,33.9,11,nominal
1443,2027-12-13,,2.1,766.9,13.0,8,nominal
1444,2027-12-14,-41.1,11.2,924.7,19.9,8,nominal
1445,2027-12-15,-52.0,10.3,767.4,9.0,0,nominal
1446,2027-12-16,-60.0,4.7,751.5,15.8,6,nominal
1447,2027-12-17,-60.7,8.4,678.1,19.7,11,nominal
1448,2027-12-18,-68.1,,879.8,33.1,1,nominal
1449,2027-12-19,-50.0,-9.1,857.2,9.9,0,nominal
1450,2027-12-20,-49.4,-8.3,699.7,4.9,1,warning
1451,2027-12-21,-44.1,-8.8,694.1,17.5,11,nominal
1452,2027-12-22,-43.8,14.0,,25.5,4,nominal
1453,2027-12-23,-55.3,9.0,858.3,30.3,7,nominal
1454,2027-12-24,-69.1,-4.2,872.5,6.9,0,nominal
1455,2027-12-25,-63.8,12.6,682.9,13.3,2,nominal
1456,2027-12-26,-67.8,3.8,835.5,32.3,3,nominal
1457,2027-12-27,-46.9,-3.6,759.7,22.0,2,nominal
1458,2027-12-28,-52.2,6.5,767.1,17.9,8,nominal
1459,2027-12-29,-42.6,15.4,798.1,25.8,2,warning
1460,2027-12-30,-48.4,15.3,906.6,5.6,,nominal
1461,2027-12-31,-64.5,-0.6,651.4,19.8,6,nominal
1462,2028-01-01,-63.7,-7.7,704.3,33.4,11,offline
1463,2028-01-02,,-8.3,660.3,31.8,6,warning
1464,2028-01-03,-56.6,-2.7,652.7,31.6,,nominal
1465,2028-01-04,-42.0,-0.5,941.2,32.3,5,offline
1466,2028-01-05,-51.8,,700.0,27.1,6,nominal
1467,2028-01-06,-42.3,11.2,914.2,9.2,,nominal
1468,2028-01-07,-50.8,-8.6,,7.7,5,nominal
1469,2028-01-08,-63.5,7.6,831.4,24.7,1,nominal
1470,2028-01-09,-68.3,0.7,677.4,8.1,1,nominal
1471,2028-01-10,-41.9,5.9,788.3,34.1,2,warning
1472,2028-01-11,-45.1,14.6,792.9,27.8,11,nominal
1473,2028-01-12,-40.9,3.8,701.0,20.1,5,nominal
1474,2028-01-13,-53.8,-8.1,702.7,11.2,4,nominal
1475,2028-01-14,-66.3,-5.8,733.1,34.4,10,nominal
1476,2028-01-15,-38.7,16.0,822.7,26.1,11,nominal
1477,2028-01-16,-38.5,-0.9,863.9,9.2,2,nominal
1478,2028-01-17,-60.5,10.2,,28.0,2,nominal
1479,2028-01-18,-47.2,12.9,753.0,28.5,3,nominal
1480,2028-01-19,-63.7,-5.9,656.6,9.5,9,nominal
1481,2028-01-20,-56.2,7.6,,9.4,11,nominal
