accident_id,date,time,day_of_week,road_type,speed_limit,weather_conditions,light_conditions,road_surface,number_of_vehicles,number_of_casualties,severity,latitude,longitude,local_authority,urban_rural
ACC00832,2023-07-30,07:42,Sunday,Single carriageway,70,Other,Darkness - lights lit,Dry,3,4,Serious,55.473542,0.293894,Sheffield,Urban
ACC00833,2023-08-18,03:05,Friday,Slip road,20,Unknown,Darkness - lighting unknown,Flood over 3cm deep,2,5,Serious,50.177108,0.452614,Hackney,Rural
ACC00834,2023-07-02,23:59,Sunday,Dual carriageway,70,Raining with high winds,Darkness - lighting unknown,Wet or damp,2,1,Slight,50.357944,-5.507303,Exeter,Urban
ACC00835,2023-10-16,09:25,Monday,Single carriageway,70,Other,Daylight,Dry,2,1,Fatal,51.568413,-4.459879,York,Rural
ACC00836,2023-09-02,01:17,Saturday,Single carriageway,70,Raining no high winds,Daylight,Dry,2,3,Fatal,52.456432,-3.040425,Islington,Rural
ACC00837,2023-10-13,18:24,Friday,Roundabout,30,Raining with high winds,Darkness - lights unlit,Dry,2,1,Fatal,55.372117,-0.434917,Leicester,Rural
ACC00838,2023-09-19,12:28,Tuesday,Single carriageway,30,Snowing no high winds,Darkness - lights lit,Dry,2,1,SLIGHT,53.363985,-3.876315,Sunderland,Rural
ACC00839,2023-05-17,17:44,Wednesday,Motorway,30,Fog or mist,Daylight,Snow,1,1,Serious,50.877764,1.706423,Reading,Rural
ACC00840,2023-02-27,23:15,Monday,Roundabout,70,Fog or mist,Daylight,Dry,3,1,Slight,52.75564,-2.642756,Westminster,Urban
ACC00841,2023-12-25,07:23,Monday,Dual carriageway,40,,Daylight,Wet or damp,1,1,Slight,53.771657,0.847814,Leicester,Urban
ACC00842,2023-02-03,04:44,Friday,Dual carriageway,70,Snowing no high winds,Darkness - lighting unknown,,2,5,Slight,55.024533,-2.237062,Norwich,Urban
ACC00843,2023-06-17,12:40,Saturday,One way street,40,Snowing no high winds,Darkness - lights unlit,Flood over 3cm deep,2,4,Fatal,52.2958,-1.060912,Bath,Urban
ACC00844,2023-05-14,21:03,Sunday,Single carriageway,30,Fog or mist,Daylight,Dry,1,2,Serious,55.769167,-3.852026,Swansea,Urban
ACC00845,2023-10-03,17:51,Tuesday,One way street,30,Raining no high winds,Darkness - lights lit,Dry,2,2,SLIGHT,50.580048,-1.355484,Bradford,Urban
ACC00846,2023-03-11,18:16,Saturday,Single carriageway,20,Fine no high winds,Darkness - lights unlit,Snow,2,1,Serious,53.557665,-2.46495,Cambridge,Urban
ACC00847,2023-07-06,14:21,Thursday,Motorway,20,Fog or mist,Darkness - no lighting,Wet or damp,3,5,Slight,54.531305,0.339485,Camden,Rural
ACC00848,2023-11-21,17:21,Tuesday,Dual carriageway,20,Fine no high winds,Darkness - lights unlit,Wet or damp,2,1,Slight,50.053105,1.289366,York,Urban
ACC00849,2023-09-02,15:19,Saturday,One way street,-30,Raining no high winds,Daylight,Snow,1,1,Slight,54.113018,-4.95064,Glasgow,Rural
ACC00850,2023-10-02,08:37,Monday,Motorway,50,Raining with high winds,Darkness - no lighting,Flood over 3cm deep,1,4,Slight,53.35147,0.918589,Edinburgh,Rural
ACC00851,2023-05-15,20:51,Monday,One way street,30,Fine no high winds,Daylight,Dry,1,2,Slight,54.265411,0.933735,Cardiff,Urban
ACC00852,2023-06-29,20:10,Thursday,Roundabout,40,Snowing no high winds,,Wet or damp,1,2,Slight,52.920084,0.889875,Glasgow,Urban
ACC00853,2023-06-23,06:54,Friday,Single carriageway,30,Fine no high winds,Daylight,Dry,4,6,Slight,54.464555,-1.089175,Portsmouth,Rural
ACC00854,2023-12-07,18:43,Thursday,Single carriageway,60,Fine no high winds,Daylight,Dry,3,2,Slight,53.973481,0.447358,Southampton,Urban
ACC00855,2023-05-07,08:21,Sunday,Dual carriageway,20,Raining no high winds,Daylight,Wet or damp,3,2,slight,51.547239,1.003457,Cardiff,Urban
ACC00856,2023-09-21,08:28,Thursday,Slip road,60,Fine no high winds,Darkness - lighting unknown,Dry,3,1,Slight,51.617354,-3.79205,Glasgow,Urban
ACC00857,2023-09-01,06:28,Friday,Motorway,30,Fine no high winds,Darkness - lights lit,Dry,2,1,Serious,52.647661,-1.932456,Newcastle upon Tyne,Rural
ACC00858,2023-03-21,22:38,Tuesday,Single carriageway,40,Raining no high winds,Darkness - no lighting,Dry,3,1,Serious,53.949938,-3.796552,Bristol,Urban
ACC00859,2023-03-31,16:53,Friday,Motorway,70,Fine no high winds,,Dry,2,1,Slight,50.875498,-4.854528,Norwich,Rural
ACC00860,2023-09-21,22:36,Thursday,Motorway,30,Fine no high winds,Daylight,Dry,1,1,Slight,51.334113,0.967227,Camden,Urban
ACC00861,2023-11-20,17:58,Monday,Slip road,50,Fine no high winds,Daylight,Flood over 3cm deep,1,1,Slight,52.225552,-5.002946,Tower Hamlets,Urban
ACC00862,2023-01-25,08:26,Wednesday,Motorway,70,,Daylight,Wet or damp,2,3,Fatal,51.835075,-0.627891,Lambeth,Urban
ACC00863,2023-01-02,13:21,Monday,One way street,60,Fine no high winds,Darkness - lights lit,,4,1,slight,55.640176,-0.686685,York,Urban
ACC00864,2023-02-16,07:18,Thursday,Single carriageway,60,Snowing no high winds,Darkness - lights lit,Dry,2,3,Fatal,51.559414,-1.060397,Islington,Rural
ACC00865,2023-10-11,09:46,Wednesday,One way street,30,Raining no high winds,Darkness - no lighting,Dry,2,2,Serious,53.221441,1.032796,Ipswich,Urban
ACC00866,2023-07-09,13:11,Sunday,Roundabout,60,Fine no high winds,Darkness - no lighting,Snow,1,2,Slight,50.129206,-5.047684,York,Urban
ACC00867,2023-06-04,17:54,Sunday,Single carriageway,70,Raining no high winds,Daylight,Dry,3,1,Serious,51.823257,1.480027,Plymouth,Rural
ACC00868,2023-02-08,09:51,Wednesday,Motorway,30,Fine no high winds,Daylight,Snow,4,1,Slight,50.943769,-1.176311,Southampton,Urban
ACC00869,2023-07-07,16:06,Friday,Motorway,40,Other,Darkness - lights lit,Wet or damp,2,3,Slight,52.523682,-1.906518,Westminster,Rural
ACC00870,2023-01-26,08:14,Thursday,Roundabout,-50,Fine no high winds,Daylight,Frost or ice,2,3,Slight,54.916186,-2.17498,Manchester,Rural
ACC00871,2023-02-15,20:58,Wednesday,Motorway,30,,Darkness - lights lit,Frost or ice,2,1,Slight,50.42043,1.361981,Exeter,Urban
ACC00872,2023-01-31,09:23,Tuesday,Single carriageway,70,Fine no high winds,Darkness - no lighting,Dry,5,2,Slight,51.078393,-5.093469,Islington,Urban
ACC00873,2023-01-17,13:37,Tuesday,Roundabout,70,Fine no high winds,Daylight,Frost or ice,2,2,Slight,55.088088,-1.394981,Coventry,Rural
ACC00874,2023-07-31,18:13,Monday,One way street,40,Fine no high winds,Darkness - lights lit,Wet or damp,4,3,Slight,54.850728,-5.039319,Derby,Rural
ACC00875,2023-02-06,08:02,Monday,Single carriageway,40,Snowing no high winds,Darkness - lights unlit,Dry,2,1,Slight,51.237347,0.912365,Glasgow,Rural
ACC00876,2023-01-31,13:34,Tuesday,One way street,20,Unknown,Darkness - lights unlit,Frost or ice,2,2,Slight,55.167775,1.282117,Brighton and Hove,Urban
ACC00877,2023-11-19,09:25,Sunday,Single carriageway,60,Fine no high winds,Darkness - lights lit,Wet or damp,1,3,Slight,54.08719,-2.748948,Bath,Rural
ACC00878,2023-01-05,17:59,Thursday,Roundabout,40,Fine no high winds,Daylight,Frost or ice,2,1,Slight,53.863278,-1.199337,Bristol,Urban
ACC00879,2023-12-18,08:51,Monday,Dual carriageway,-60,Other,Darkness - lights unlit,Dry,2,1,Slight,52.355513,-1.042631,Bristol,Urban
ACC00880,2023-02-12,05:28,Sunday,Roundabout,70,Raining no high winds,Daylight,Dry,2,1,Slight,50.457851,-4.867547,Liverpool,Urban
ACC00881,2023-11-13,13:18,Monday,Single carriageway,60,Fine no high winds,Darkness - no lighting,Dry,3,1,Serious,50.287201,-3.046008,Cheltenham,Urban
ACC00882,2023-05-28,19:13,Sunday,Dual carriageway,20,Fine no high winds,Daylight,Dry,2,1,Slight,55.094064,-2.486938,Brighton and Hove,Rural
ACC00883,2023-04-24,10:56,Monday,Single carriageway,,Raining no high winds,Darkness - lights lit,Dry,4,2,Slight,50.849746,-2.989905,Hackney,Urban
ACC00884,2023-08-08,17:03,Tuesday,Single carriageway,60,Raining no high winds,Darkness - no lighting,Frost or ice,2,3,Slight,55.777472,-1.942846,Greenwich,Urban
ACC00885,2023-04-26,08:31,Wednesday,Slip road,50,Fine no high winds,Darkness - lights lit,Wet or damp,1,1,Slight,54.804965,-5.153411,Liverpool,Rural
ACC00886,2023-10-26,07:42,Thursday,Single carriageway,30,Fine no high winds,Darkness - lights lit,Wet or damp,3,1,slight,53.313643,-0.876367,Cambridge,Urban
ACC00887,2023-05-05,07:05,Friday,One way street,50,Raining with high winds,Daylight,Dry,2,1,Slight,55.554589,1.226472,Plymouth,Urban
ACC00888,2023-04-06,09:47,Thursday,One way street,40,Fine no high winds,Darkness - lights unlit,Dry,2,3,Slight,53.892011,0.91729,Westminster,Urban
ACC00889,2023-12-22,00:58,Friday,Slip road,30,Fine no high winds,Darkness - lights lit,Dry,2,3,Slight,51.049409,-2.464132,Birmingham,Urban
ACC00890,2023-03-05,15:46,Sunday,Single carriageway,70,Raining no high winds,Daylight,,1,1,Slight,51.226329,-2.914287,Norwich,Rural
ACC00891,2023-12-27,12:35,Wednesday,Motorway,20,Unknown,Daylight,Wet or damp,4,1,Fatal,54.976865,-5.196234,Swansea,Rural
ACC00892,2023-06-09,21:06,Friday,Motorway,30,Fine no high winds,Darkness - no lighting,Dry,1,1,Slight,53.567243,-1.675091,Sunderland,Urban
ACC00893,2023-12-02,16:59,Saturday,Motorway,30,Fine no high winds,,Wet or damp,2,2,Slight,53.904132,-0.182105,Westminster,Urban
ACC00894,2023-03-09,08:31,Thursday,Roundabout,30,Unknown,Daylight,Dry,2,1,Slight,52.919361,-2.565535,Tower Hamlets,Rural
ACC00895,2023-04-29,14:29,Saturday,Slip road,40,Raining no high winds,Daylight,Flood over 3cm deep,2,3,Slight,53.780215,1.730013,Southwark,Rural
ACC00896,2023-01-21,05:37,Saturday,Motorway,30,Fine no high winds,Daylight,Wet or damp,2,5,Serious,54.762832,-5.198394,Swansea,Rural
ACC00897,2023-09-14,08:35,Thursday,Roundabout,50,Raining no high winds,Darkness - no lighting,Dry,2,2,Slight,50.487853,-1.858913,Oxford,Urban
ACC00898,2023-08-14,12:12,Monday,Dual carriageway,70,Fine no high winds,Daylight,Snow,2,1,Fatal,52.186187,-2.297885,Greenwich,Urban
ACC00899,2023-07-30,23:21,Sunday,Motorway,40,Fine no high winds,Daylight,,2,3,Slight,53.096045,-2.002558,Wolverhampton,Rural
ACC00900,2023-12-31,09:36,Sunday,One way street,40,Fine no high winds,Daylight,Flood over 3cm deep,2,1,Slight,54.176959,1.518043,Leicester,Rural
ACC00901,2023-05-14,01:51,Sunday,Dual carriageway,30,Fine no high winds,Darkness - lights lit,Flood over 3cm deep,2,1,Slight,52.144811,-2.198216,Swansea,Rural
ACC00902,2023-05-18,20:21,Thursday,Dual carriageway,40,Fine no high winds,Darkness - lights unlit,Wet or damp,2,6,Slight,52.279559,1.28395,Wolverhampton,Rural
ACC00903,2023-05-27,14:44,Saturday,Single carriageway,70,Raining no high winds,Darkness - lights lit,Flood over 3cm deep,1,1,Slight,53.456478,-3.276776,Glasgow,Rural
ACC00904,2023-05-22,08:49,Monday,Single carriageway,40,Fine no high winds,Darkness - lights unlit,Dry,4,1,Slight,53.773858,-1.323591,Sheffield,Urban
ACC00905,2023-01-29,13:14,Sunday,Slip road,30,Fine no high winds,Daylight,Dry,2,2,Slight,52.874958,-1.718773,Edinburgh,Urban
ACC00906,2023-05-24,12:23,Wednesday,Dual carriageway,30,Raining no high winds,Darkness - lighting unknown,Frost or ice,2,3,Serious,50.281935,-1.970849,Birmingham,Urban
ACC00907,2023-08-25,18:27,Friday,One way street,70,Raining no high winds,Darkness - lights unlit,Dry,2,1,Slight,55.283955,-0.857209,Islington,Urban
ACC00908,2023-11-29,01:02,Wednesday,Single carriageway,30,,Daylight,Dry,1,1,Serious,53.842895,1.390223,Wandsworth,Rural
ACC00909,2023-07-23,20:44,Sunday,Single carriageway,60,Fine no high winds,Daylight,Dry,1,1,Slight,52.036174,-4.54369,Oxford,Urban
ACC00910,2023-05-07,14:23,Sunday,Roundabout,70,Other,Daylight,Dry,1,1,serious,51.315669,-1.080386,Reading,Rural
ACC00911,2023-04-24,07:08,Monday,Dual carriageway,50,Raining no high winds,Daylight,Flood over 3cm deep,2,1,Slight,50.531501,-5.332838,Plymouth,Urban
ACC00912,2023-04-13,12:00,Thursday,Slip road,30,Fine no high winds,Darkness - lights unlit,Dry,2,3,Serious,51.289116,1.520594,Norwich,Urban
ACC00913,2023-05-15,08:49,Monday,One way street,60,Fine no high winds,Darkness - lights lit,Frost or ice,3,1,Slight,55.682133,1.531293,Lewisham,Urban
ACC00914,2023-03-20,14:54,Monday,Single carriageway,70,Other,Daylight,Dry,3,1,Slight,52.186756,0.457897,Derby,Urban
ACC00915,2023-09-03,07:04,Sunday,Single carriageway,60,Fine no high winds,Darkness - lights lit,Snow,2,1,Slight,54.800504,-5.652653,Bradford,Urban
ACC00916,2023-12-04,08:11,Monday,One way street,70,Fine no high winds,Darkness - lighting unknown,Wet or damp,2,1,Serious,53.809736,-2.804128,Bradford,Urban
ACC00917,2023-12-04,07:27,Monday,Dual carriageway,-30,Fine no high winds,Darkness - lights lit,Wet or damp,2,1,Slight,53.342145,-2.880186,Liverpool,Rural
ACC00918,2023-03-12,07:27,Sunday,Single carriageway,70,Fine no high winds,Daylight,Frost or ice,1,2,Slight,50.868093,-5.150313,Leeds,Rural
ACC00919,2023-08-21,14:33,Monday,Slip road,30,Fine no high winds,Daylight,Snow,2,1,Slight,54.627761,1.688175,Manchester,Urban
ACC00920,2023-09-29,15:41,Friday,Motorway,50,Raining no high winds,Daylight,Dry,4,2,Slight,51.177489,-1.180366,Sunderland,Rural
ACC00921,2023-04-04,16:02,Tuesday,single carriageway,30,Fog or mist,Daylight,Wet or damp,3,3,Serious,54.683814,-3.657844,Leicester,Rural
ACC00922,2023-10-15,09:19,Sunday,Motorway,70,Raining no high winds,Darkness - no lighting,Snow,2,1,Serious,55.355472,0.936101,Southwark,Rural
ACC00923,2023-01-17,07:22,Tuesday,Roundabout,30,Raining with high winds,Daylight,Dry,2,1,Slight,,,Plymouth,Rural
ACC00924,2023-06-14,18:23,Wednesday,Slip road,20,Fine no high winds,Darkness - lights lit,Wet or damp,1,2,Serious,52.398448,-4.152225,Coventry,Urban
ACC00925,2023-10-19,19:25,Thursday,Roundabout,40,Raining no high winds,Darkness - lights unlit,Dry,2,1,Slight,55.073022,1.365718,Leicester,Urban
ACC00926,2023-11-05,19:15,Sunday,Dual carriageway,40,Fog or mist,Darkness - no lighting,Wet or damp,2,4,Slight,51.530007,-1.756316,Norwich,Urban
ACC00927,2023-04-22,21:52,Saturday,Motorway,,Snowing no high winds,Darkness - lights lit,Dry,2,1,Slight,55.786697,0.001866,Bath,Urban
ACC00928,2023-09-23,13:40,Saturday,One way street,40,Raining no high winds,Darkness - no lighting,Dry,3,1,Slight,50.058932,-3.436716,Ipswich,Rural
ACC00929,2023-01-15,09:55,Sunday,Roundabout,30,Fine no high winds,Daylight,Dry,3,1,Slight,55.013051,-1.734262,Wolverhampton,Rural
ACC00930,2023-08-09,02:59,Wednesday,Dual carriageway,30,Fine no high winds,Darkness - lights lit,Flood over 3cm deep,2,1,Slight,52.299983,-4.040346,Hackney,Urban
ACC00931,2023-07-28,18:47,Friday,Single carriageway,20,Fine no high winds,Daylight,Wet or damp,2,1,Slight,51.205891,-4.891639,Coventry,Urban
ACC00932,2023-10-04,01:35,Wednesday,Roundabout,30,Fog or mist,Darkness - lights lit,Snow,3,5,Slight,55.139502,-0.796361,Portsmouth,Rural
ACC00933,2023-01-30,18:50,Monday,Roundabout,20,Fine no high winds,Daylight,Flood over 3cm deep,2,1,Slight,51.962375,-2.336582,Cardiff,Urban
ACC00934,2023-03-10,14:06,Friday,Dual carriageway,30,Fine no high winds,Daylight,Dry,2,1,Serious,52.557645,-0.194526,Wandsworth,Rural
ACC00935,2023-11-09,10:15,Thursday,Single carriageway,30,Fine no high winds,Darkness - lights lit,Dry,1,5,Slight,55.279364,-0.189629,Norwich,Urban
ACC00936,2023-01-24,08:29,Tuesday,Single carriageway,,Unknown,Daylight,Dry,2,1,Slight,53.839121,-4.706979,Tower Hamlets,Urban
ACC00937,2023-08-25,03:53,Friday,Slip road,,Other,Darkness - no lighting,Wet or damp,3,1,Fatal,54.562626,-1.194598,Manchester,Urban
ACC00938,2023-12-13,04:21,Wednesday,Motorway,30,Fine no high winds,Daylight,Wet or damp,2,3,Fatal,54.535258,-3.125684,Oxford,Rural
ACC00939,2023-11-18,18:49,Saturday,Single carriageway,30,Fine no high winds,Daylight,Dry,1,1,Serious,52.65576,-1.848654,Sheffield,Urban
ACC00940,2023-02-07,01:55,Tuesday,Slip road,40,Unknown,Daylight,Dry,2,1,Fatal,55.635422,-1.070621,Edinburgh,Urban
ACC00941,2023-09-10,23:16,Sunday,Dual carriageway,30,Snowing no high winds,Darkness - no lighting,Dry,2,1,Slight,50.86799,-4.852598,Manchester,Rural
ACC00942,2023-04-10,00:44,Monday,Motorway,30,Fine no high winds,Darkness - lights lit,Wet or damp,2,4,SLIGHT,51.767453,0.604634,Portsmouth,Rural
ACC00943,2023-07-11,12:49,Tuesday,Motorway,70,Raining no high winds,Daylight,Wet or damp,2,2,Serious,51.492796,-0.435069,Manchester,Rural
ACC00944,2023-05-18,17:30,Thursday,Roundabout,30,,Darkness - lights lit,Dry,1,1,Slight,52.02588,-5.072138,Wolverhampton,Urban
ACC00945,2023-06-15,13:13,Thursday,Single carriageway,30,Fog or mist,Darkness - lights lit,Wet or damp,3,2,Slight,51.34903,-3.867272,Lewisham,Rural
ACC00946,2023-02-08,13:39,Wednesday,Motorway,20,Other,Darkness - lighting unknown,Wet or damp,1,1,Slight,51.293605,-1.662677,Islington,Urban
ACC00947,2023-02-12,16:06,Sunday,single carriageway,30,Raining no high winds,Darkness - lights lit,Flood over 3cm deep,2,4,Slight,53.122293,0.822977,Exeter,Rural
ACC00948,2023-06-17,18:03,Saturday,One way street,40,Fine no high winds,Daylight,Dry,1,1,Fatal,55.382798,1.166747,Portsmouth,Rural
ACC00949,2023-11-23,13:47,Thursday,Dual carriageway,30,Fog or mist,Darkness - lights unlit,Dry,2,2,Slight,53.540987,-0.338557,York,Urban
ACC00950,2023-05-10,03:18,Wednesday,Slip road,60,Fog or mist,Daylight,Dry,2,2,Slight,54.787218,-2.653115,Derby,Rural
ACC00951,26/02/2023,00:03,Sunday,Dual carriageway,50,Raining no high winds,Darkness - lights unlit,Dry,3,2,Slight,50.36185,-3.091234,Leeds,Urban
ACC00952,2023-06-17,08:15,Saturday,Motorway,,Snowing no high winds,Daylight,Wet or damp,2,1,Slight,54.886217,-1.080417,Ipswich,Rural
ACC00953,2023-05-05,05:54,Friday,Motorway,30,Snowing no high winds,Darkness - lights unlit,Dry,2,1,Slight,52.932817,-0.937502,Sunderland,Rural
ACC00954,2023-10-10,12:00,Tuesday,Single carriageway,30,Fine no high winds,Darkness - lighting unknown,Dry,2,1,Fatal,50.883656,-0.652298,Brighton and Hove,Urban
ACC00955,2023-12-29,23:44,Friday,Single carriageway,50,Raining with high winds,Darkness - no lighting,Snow,1,1,Slight,54.788026,-4.447139,Sunderland,Rural
ACC00956,2023-11-07,13:07,Tuesday,Slip road,60,Unknown,Daylight,Wet or damp,4,1,Serious,53.730859,-1.642367,Coventry,Urban
ACC00957,2023-07-20,14:52,Thursday,One way street,60,Raining no high winds,Daylight,Wet or damp,2,1,Slight,52.599661,-3.389641,Brighton and Hove,Rural
ACC00958,22/11/2023,08:47,Wednesday,Dual carriageway,30,Fog or mist,Daylight,Frost or ice,2,1,Fatal,52.389633,-1.273007,Coventry,Urban
ACC00959,2023-08-23,14:31,Wednesday,Dual carriageway,60,Raining no high winds,Darkness - lights lit,Snow,2,5,Slight,54.655821,0.31487,Coventry,Urban
ACC00960,2023-10-25,17:06,Wednesday,One way street,40,Fog or mist,Darkness - lighting unknown,Dry,2,1,Fatal,50.966659,-0.899927,Oxford,Urban
ACC00961,2023-08-23,08:18,Wednesday,Motorway,70,Fine no high winds,Daylight,Flood over 3cm deep,2,2,Slight,52.079702,-4.91719,Bristol,Urban
ACC00962,2023-06-06,17:35,Tuesday,Dual carriageway,70,Fog or mist,Darkness - no lighting,Wet or damp,3,2,Slight,53.209327,-2.580045,Sheffield,Urban
ACC00963,2023-12-14,13:48,Thursday,One way street,30,Fog or mist,Darkness - lights lit,Dry,1,5,Slight,52.246935,-4.971814,Newcastle upon Tyne,Rural
ACC00964,2023-10-19,08:58,Thursday,Single carriageway,70,Fine no high winds,Darkness - lighting unknown,Frost or ice,2,4,Slight,50.181134,-0.967325,Liverpool,Rural
ACC00965,2023-05-10,09:02,Wednesday,One way street,60,Fine no high winds,Darkness - lights lit,Snow,2,4,Slight,50.956041,1.349989,Swansea,Urban
ACC00966,2023-03-12,13:49,Sunday,Single carriageway,30,Fine no high winds,Daylight,Dry,2,1,Slight,52.549546,-5.479503,Portsmouth,Urban
ACC00967,2023-11-04,12:06,Saturday,Dual carriageway,60,Fine no high winds,Darkness - lights lit,Dry,2,1,Slight,51.667325,-0.235094,Liverpool,Urban
ACC00968,2023-12-04,16:59,Monday,Single carriageway,60,Fine no high winds,Daylight,Frost or ice,2,1,Slight,53.109216,-1.608166,Sheffield,Rural
ACC00969,2023-06-06,17:08,Tuesday,Roundabout,30,Raining no high winds,Daylight,Flood over 3cm deep,2,1,Slight,52.602035,-5.289457,Tower Hamlets,Rural
ACC00970,2023-08-30,17:40,Wednesday,Dual carriageway,40,Fine no high winds,Darkness - lights lit,Frost or ice,3,2,Slight,50.650383,0.22103,Plymouth,Urban
ACC00971,2023-11-05,17:14,Sunday,Slip road,60,Snowing no high winds,Daylight,Dry,2,2,Slight,50.482246,0.206365,Leeds,Urban
ACC00972,2023-09-17,05:51,Sunday,Motorway,30,Raining no high winds,Daylight,Frost or ice,2,1,Slight,54.797818,-2.439038,Bradford,Urban
ACC00973,2023-06-17,15:51,Saturday,Motorway,20,Fine no high winds,Darkness - lighting unknown,Dry,2,2,Slight,51.696717,0.820174,Portsmouth,Urban
ACC00974,2023-02-03,07:13,Friday,One way street,30,Fog or mist,Darkness - lights lit,Snow,2,1,Slight,50.305418,-1.293435,Cheltenham,Urban
ACC00975,2023-09-30,21:45,Saturday,Roundabout,30,Fine no high winds,Daylight,Flood over 3cm deep,2,2,Slight,55.246692,-4.423491,Leicester,Rural
ACC00976,2023-12-10,14:37,Sunday,Roundabout,60,Fine no high winds,Darkness - lighting unknown,Wet or damp,3,4,Slight,53.683635,-1.41739,Reading,Urban
ACC00977,2023-10-26,17:38,Thursday,Single carriageway,30,Fine no high winds,Darkness - lighting unknown,Flood over 3cm deep,2,2,Serious,55.212539,-2.234084,Cardiff,Rural
ACC00978,2023-04-16,12:33,Sunday,One way street,60,Fine no high winds,Daylight,Dry,3,2,Slight,53.063346,-3.137107,York,Rural
ACC00979,2023-05-21,10:36,Sunday,Single carriageway,20,Unknown,Daylight,Dry,2,2,Slight,51.830613,-1.497945,York,Rural
ACC00980,2023-09-16,00:48,Saturday,Slip road,20,,Darkness - lights lit,Dry,1,1,Slight,50.706791,-3.891517,Cheltenham,Urban
ACC00981,2023-11-27,11:07,Monday,Dual carriageway,50,Fine no high winds,Daylight,Flood over 3cm deep,2,2,Slight,54.962394,-0.321159,Islington,Urban
ACC00982,2023-06-25,16:31,Sunday,dual carriageway,50,Raining no high winds,Daylight,Frost or ice,1,2,Serious,54.179622,-2.692926,Sheffield,Urban
ACC00983,2023-08-09,09:18,Wednesday,Slip road,70,Fine no high winds,Daylight,Wet or damp,3,3,Slight,53.391742,-1.439251,Edinburgh,Urban
ACC00984,2023-12-04,09:58,Monday,Dual carriageway,60,,Daylight,Frost or ice,1,1,Fatal,52.44658,0.04282,Swansea,Rural
ACC00985,2023-02-05,21:26,Sunday,Single carriageway,20,Fine no high winds,Darkness - no lighting,Wet or damp,2,1,Serious,55.058716,-0.938899,Coventry,Rural
ACC00986,2023-01-01,07:00,Sunday,Dual carriageway,30,Raining with high winds,Darkness - lights unlit,Dry,2,4,Serious,55.059702,-3.725272,Newcastle upon Tyne,Urban
ACC00987,2023-10-22,12:26,Sunday,Slip road,50,Fine no high winds,Daylight,Dry,2,2,Slight,55.44321,-1.881394,Nottingham,Urban
ACC00988,2023-08-21,08:07,Monday,Slip road,40,Fine no high winds,Daylight,Snow,3,5,Slight,54.57525,-0.018308,Nottingham,Urban
ACC00989,2023-04-16,14:41,Sunday,Roundabout,60,Fine no high winds,Daylight,Dry,2,3,Serious,50.080762,-3.816983,Bristol,Urban
ACC00990,03/08/2023,05:34,Thursday,Single carriageway,50,Fine no high winds,Darkness - lights lit,Wet or damp,3,5,Slight,50.393356,0.655368,Bristol,Urban
ACC00991,2023-02-03,09:44,Friday,Slip road,,Unknown,Darkness - lights lit,Dry,2,1,Slight,55.787418,-3.898515,Norwich,Urban
ACC00992,2023-05-22,14:01,Monday,Motorway,60,Fine no high winds,Darkness - lights unlit,Wet or damp,3,2,SLIGHT,51.063327,-2.901043,Portsmouth,Urban
ACC00993,2023-03-30,12:34,Thursday,Single carriageway,20,Fine no high winds,Darkness - lights lit,Snow,2,1,Slight,51.247651,-2.138316,Lewisham,Rural
ACC00994,2023-11-01,12:25,Wednesday,One way street,30,Fine no high winds,,Dry,2,2,Slight,50.057863,-2.213652,Wolverhampton,Urban
ACC00995,2023-01-14,06:39,Saturday,Slip road,30,Fine no high winds,Daylight,Frost or ice,2,1,Slight,53.135108,-2.844939,Islington,Rural
ACC00996,2023-05-10,14:49,Wednesday,Dual carriageway,50,Fine no high winds,Darkness - no lighting,Dry,2,2,Slight,52.748974,-5.652835,Newcastle upon Tyne,Urban
ACC00997,2023-03-09,16:05,Thursday,One way street,20,Fine no high winds,Darkness - lights lit,Dry,2,2,Slight,50.823113,-0.205737,Camden,Rural
ACC00998,2023-01-12,16:26,Thursday,Roundabout,40,Fine no high winds,Daylight,Dry,2,1,Serious,53.495532,-3.44919,Norwich,Urban
ACC00999,2023-06-29,07:08,Thursday,Single carriageway,30,Fog or mist,Daylight,Wet or damp,4,2,Slight,50.990231,-2.475997,Oxford,Urban
ACC01000,2023-09-21,04:13,Thursday,Slip road,50,Fine no high winds,Daylight,Flood over 3cm deep,2,1,Slight,50.137087,-0.080989,Bath,Rural
ACC01001,2023-03-08,08:02,Wednesday,Single carriageway,50,Fog or mist,Darkness - lighting unknown,Dry,2,5,Slight,54.834913,0.190673,Bristol,Urban
ACC01002,2023-04-25,16:26,Tuesday,Roundabout,-40,Raining no high winds,Daylight,Dry,3,1,Slight,55.787652,-4.205236,Portsmouth,Urban
ACC01003,2023-01-11,09:24,Wednesday,Dual carriageway,40,Unknown,Darkness - lights unlit,Frost or ice,2,1,Slight,50.01948,-1.791808,Ipswich,Urban
ACC01004,2023-07-16,23:40,Sunday,Single carriageway,30,Fine no high winds,Darkness - no lighting,Dry,4,2,Fatal,53.904874,1.388032,Ipswich,Rural
ACC01005,2023-02-12,17:27,Sunday,Slip road,40,Raining no high winds,Daylight,Dry,1,4,Fatal,52.98729,-0.567773,Sheffield,Rural
ACC01006,2023-02-13,14:38,Monday,Motorway,70,Raining no high winds,Darkness - lights lit,Wet or damp,2,3,Slight,50.870471,-5.563717,Sunderland,Urban
