drug_a_molecular_weight,drug_a_solubility,drug_a_half_life,drug_a_category,drug_b_category,patient_age_group,interaction_severity
246.41,35.59,69.76,cardiovascular,anti-inflammatory,18-30,moderate
344.25,41.02,13.34,cardiovascular,cardiovascular,31-50,none
216.24,39.71,9.62,analgesic,antibiotic,18-30,none
685.39,18.67,45.75,antiviral,analgesic,31-50,none
164.17,3.32,65.08,cardiovascular,antibiotic,18-30,mild
700.73,40.46,9.7,cardiovascular,analgesic,18-30,none
406.75,1.57,49.51,antibiotic,antidepressant,18-30,none
271.65,14.06,63.72,analgesic,anti-inflammatory,51-70,none
417.79,27.58,5.33,antidepressant,cardiovascular,18-30,severe
279.65,44.24,38.33,antiviral,anti-inflammatory,51-70,moderate
383.42,27.27,35.41,anti-inflammatory,anti-inflammatory,31-50,none
325.78,1.4,43.4,analgesic,antidepressant,18-30,mild
648.45,49.98,70.15,analgesic,antibiotic,51-70,none
323.24,40.83,66.13,analgesic,antibiotic,31-50,mild
757.88,49.58,13.33,antibiotic,anti-inflammatory,31-50,mild
629.77,18.0,43.0,antiviral,antiviral,31-50,none
766.44,41.85,58.54,cardiovascular,anti-inflammatory,31-50,none
468.78,4.6,17.52,antibiotic,analgesic,31-50,moderate
280.95,6.61,51.9,antidepressant,analgesic,18-30,none
531.3,45.87,55.98,anti-inflammatory,antidepressant,70+,none
407.14,5.14,22.43,antibiotic,antibiotic,51-70,moderate
433.96,32.0,35.59,antidepressant,antibiotic,51-70,none
548.91,17.91,48.25,antibiotic,cardiovascular,31-50,none
597.52,6.45,52.75,antiviral,anti-inflammatory,31-50,severe
171.05,30.16,66.39,anti-inflammatory,antibiotic,51-70,mild
217.67,24.86,24.51,analgesic,antibiotic,31-50,none
776.0,41.1,48.57,antiviral,antidepressant,31-50,moderate
322.39,12.55,5.81,antidepressant,analgesic,51-70,mild
422.77,8.4,30.4,cardiovascular,antidepressant,31-50,moderate
215.93,24.03,62.35,antiviral,antiviral,18-30,none
171.72,1.1,19.54,analgesic,analgesic,31-50,none
727.16,8.13,6.33,analgesic,antidepressant,31-50,none
170.15,47.13,12.71,cardiovascular,antibiotic,18-30,none
365.21,48.72,30.06,anti-inflammatory,antiviral,70+,none
343.31,4.89,28.9,anti-inflammatory,cardiovascular,18-30,none
384.54,21.44,21.91,antiviral,antiviral,51-70,none
261.04,14.66,6.82,analgesic,antidepressant,51-70,none
456.11,44.75,19.82,antiviral,anti-inflammatory,31-50,none
271.28,2.33,32.22,antidepressant,antibiotic,51-70,mild
516.76,7.64,50.45,analgesic,analgesic,51-70,mild
641.7,11.45,5.33,cardiovascular,anti-inflammatory,31-50,none
498.08,43.36,34.71,antibiotic,cardiovascular,31-50,none
172.57,28.6,37.69,anti-inflammatory,antiviral,70+,mild
245.84,47.47,32.88,antibiotic,antibiotic,51-70,mild
792.38,21.83,71.81,antiviral,antibiotic,51-70,severe
317.63,45.55,65.91,analgesic,analgesic,31-50,none
329.53,22.96,63.02,antiviral,anti-inflammatory,31-50,none
658.1,5.71,11.62,anti-inflammatory,anti-inflammatory,31-50,mild
218.66,39.0,56.79,anti-inflammatory,antidepressant,70+,none
321.69,32.77,41.61,cardiovascular,analgesic,18-30,none
592.53,20.15,29.1,antidepressant,antiviral,18-30,mild
634.74,46.05,64.69,analgesic,antidepressant,51-70,none
469.55,34.84,7.97,antibiotic,antibiotic,31-50,mild
633.42,38.72,23.78,antiviral,cardiovascular,51-70,mild
743.73,20.42,35.4,anti-inflammatory,antidepressant,51-70,mild
484.93,8.03,23.09,anti-inflammatory,cardiovascular,18-30,mild
168.82,9.72,60.14,analgesic,antibiotic,18-30,none
182.86,18.08,15.14,antidepressant,cardiovascular,31-50,mild
169.87,18.69,43.18,antibiotic,cardiovascular,31-50,none
377.34,8.26,64.51,antiviral,antiviral,18-30,none
704.98,39.01,16.22,antibiotic,antiviral,18-30,moderate
284.38,32.61,37.44,antiviral,analgesic,31-50,none
670.56,11.27,44.19,antidepressant,antiviral,70+,mild
567.78,21.25,27.73,antidepressant,cardiovascular,31-50,mild
685.8,19.92,8.26,anti-inflammatory,antiviral,70+,mild
695.6,28.12,43.16,antidepressant,antidepressant,51-70,none
329.71,16.32,20.66,antiviral,antiviral,70+,none
573.45,9.5,37.73,antibiotic,analgesic,51-70,mild
579.34,34.07,52.21,antiviral,cardiovascular,70+,none
318.63,20.99,28.57,analgesic,anti-inflammatory,51-70,none
622.26,11.2,38.96,cardiovascular,antiviral,31-50,none
345.13,8.58,47.69,anti-inflammatory,antibiotic,31-50,none
621.37,28.0,65.8,antiviral,antidepressant,51-70,mild
294.46,11.24,62.87,cardiovascular,antidepressant,31-50,mild
226.56,2.78,46.04,anti-inflammatory,anti-inflammatory,18-30,none
728.13,25.07,62.59,cardiovascular,anti-inflammatory,31-50,moderate
239.29,10.09,30.05,anti-inflammatory,cardiovascular,18-30,none
710.56,9.1,6.74,antidepressant,antiviral,70+,none
443.83,10.55,55.92,anti-inflammatory,antibiotic,31-50,mild
646.32,4.49,44.63,antiviral,cardiovascular,31-50,mild
174.52,10.05,27.49,analgesic,antidepressant,51-70,none
495.17,0.99,1.29,antiviral,antibiotic,18-30,moderate
216.76,25.22,22.73,analgesic,analgesic,31-50,none
339.04,36.42,43.34,antidepressant,cardiovascular,70+,severe
735.9,18.03,14.38,cardiovascular,analgesic,18-30,moderate
622.66,6.65,53.12,anti-inflammatory,anti-inflammatory,18-30,none
174.29,43.84,19.16,anti-inflammatory,anti-inflammatory,18-30,mild
796.54,33.13,47.4,analgesic,analgesic,51-70,none
505.73,23.77,11.87,antiviral,antiviral,51-70,mild
345.73,33.12,48.04,antidepressant,anti-inflammatory,51-70,mild
218.19,35.97,9.36,analgesic,analgesic,31-50,mild
545.85,38.92,60.04,antibiotic,antidepressant,51-70,none
472.63,10.46,67.25,antidepressant,antibiotic,18-30,none
586.56,45.35,60.3,antiviral,cardiovascular,18-30,mild
620.32,5.15,19.17,antibiotic,cardiovascular,70+,mild
342.41,23.27,8.09,antibiotic,analgesic,70+,none
426.9,5.88,61.44,analgesic,analgesic,70+,moderate
581.18,8.61,26.38,cardiovascular,anti-inflammatory,31-50,none
372.77,5.78,29.42,cardiovascular,antidepressant,51-70,mild
598.44,23.96,30.94,antibiotic,analgesic,18-30,none
698.83,5.28,65.7,cardiovascular,anti-inflammatory,51-70,none
267.82,19.05,26.46,analgesic,antiviral,70+,none
464.0,24.46,64.02,cardiovascular,analgesic,18-30,none
575.73,0.72,62.65,anti-inflammatory,antiviral,31-50,none
585.4,16.98,38.14,antiviral,anti-inflammatory,18-30,none
580.11,12.5,25.55,antiviral,antiviral,31-50,mild
792.06,2.82,46.68,antibiotic,anti-inflammatory,51-70,none
703.72,43.48,6.32,cardiovascular,antidepressant,18-30,severe
294.76,32.2,29.63,antibiotic,analgesic,31-50,none
670.82,22.46,61.82,cardiovascular,antidepressant,18-30,mild
216.72,20.68,40.56,analgesic,analgesic,51-70,none
776.06,31.91,64.2,anti-inflammatory,antibiotic,51-70,mild
686.45,40.85,60.95,antidepressant,anti-inflammatory,51-70,mild
539.97,35.86,26.79,cardiovascular,analgesic,18-30,mild
380.84,31.72,57.79,anti-inflammatory,anti-inflammatory,31-50,none
219.11,44.85,35.96,antiviral,antiviral,51-70,mild
271.9,46.52,28.9,cardiovascular,antibiotic,51-70,mild
220.05,20.78,66.79,antiviral,anti-inflammatory,18-30,none
533.06,25.26,69.43,analgesic,anti-inflammatory,51-70,none
509.6,21.7,42.54,anti-inflammatory,antibiotic,51-70,moderate
217.31,32.91,44.04,antidepressant,anti-inflammatory,70+,moderate
422.13,30.49,50.17,antibiotic,antidepressant,31-50,none
673.12,7.0,43.78,antiviral,anti-inflammatory,31-50,mild
605.97,43.05,51.54,anti-inflammatory,antiviral,18-30,none
596.3,46.07,10.42,antiviral,antiviral,70+,moderate
265.58,27.17,46.22,antiviral,analgesic,51-70,none
762.74,35.54,48.87,anti-inflammatory,antidepressant,70+,none
424.55,0.74,8.56,cardiovascular,antibiotic,18-30,mild
660.6,49.18,49.52,antibiotic,analgesic,51-70,mild
341.84,37.7,3.29,cardiovascular,analgesic,51-70,mild
295.8,32.39,28.61,anti-inflammatory,antiviral,31-50,none
581.92,46.33,28.52,antiviral,antidepressant,70+,moderate
282.01,43.46,62.09,cardiovascular,antibiotic,70+,mild
608.01,32.42,54.61,anti-inflammatory,antiviral,51-70,mild
341.22,8.95,49.47,antibiotic,antibiotic,51-70,none
227.58,2.13,20.82,antidepressant,antibiotic,18-30,none
453.12,46.88,3.84,antidepressant,anti-inflammatory,18-30,none
756.05,30.82,47.99,cardiovascular,anti-inflammatory,31-50,moderate
491.51,47.85,37.96,anti-inflammatory,antibiotic,31-50,moderate
499.07,4.69,16.71,antibiotic,antiviral,31-50,mild
639.23,26.57,71.76,antiviral,analgesic,18-30,mild
374.9,12.09,46.6,anti-inflammatory,antibiotic,70+,mild
745.36,47.25,28.4,anti-inflammatory,antiviral,31-50,none
742.37,41.12,27.62,anti-inflammatory,cardiovascular,31-50,none
358.2,4.21,7.81,anti-inflammatory,anti-inflammatory,18-30,mild
192.56,33.55,55.92,antiviral,cardiovascular,51-70,none
721.11,37.09,31.9,analgesic,antiviral,51-70,moderate
165.44,35.87,3.69,analgesic,analgesic,18-30,none
684.05,45.56,29.94,cardiovascular,antiviral,31-50,mild
355.66,19.54,9.4,analgesic,antiviral,51-70,moderate
179.59,42.43,26.4,anti-inflammatory,analgesic,31-50,none
595.82,30.37,20.99,cardiovascular,cardiovascular,31-50,none
496.75,6.91,28.76,anti-inflammatory,antidepressant,70+,none
243.65,33.9,65.91,antiviral,antiviral,31-50,mild
510.8,6.25,1.36,anti-inflammatory,cardiovascular,31-50,none
765.54,15.3,54.13,antiviral,antidepressant,18-30,moderate
242.6,9.28,44.8,antidepressant,antibiotic,18-30,none
586.14,28.41,4.86,anti-inflammatory,cardiovascular,51-70,moderate
312.95,9.95,42.22,antidepressant,antidepressant,18-30,mild
576.06,5.09,44.99,antibiotic,antidepressant,31-50,none
600.75,7.7,41.25,antidepressant,cardiovascular,18-30,severe
353.59,39.3,51.57,antiviral,cardiovascular,31-50,none
365.52,24.05,32.62,antidepressant,cardiovascular,31-50,severe
264.25,30.37,60.77,antibiotic,anti-inflammatory,18-30,none
622.83,44.62,61.32,antiviral,analgesic,51-70,none
526.29,38.48,16.11,analgesic,anti-inflammatory,31-50,mild
575.04,7.52,28.87,anti-inflammatory,antiviral,70+,none
237.02,25.11,7.43,antidepressant,anti-inflammatory,18-30,none
788.2,34.24,54.76,antibiotic,cardiovascular,18-30,severe
518.13,28.33,62.93,antibiotic,antiviral,51-70,moderate
644.96,11.66,19.77,antibiotic,analgesic,51-70,none
486.63,39.59,28.55,cardiovascular,analgesic,18-30,mild
779.49,31.71,20.42,antiviral,antidepressant,31-50,none
520.6,18.9,27.87,anti-inflammatory,antiviral,70+,mild
782.24,11.22,29.81,antidepressant,cardiovascular,51-70,severe
726.66,0.43,63.62,cardiovascular,antibiotic,18-30,none
247.66,7.95,43.74,analgesic,antiviral,18-30,none
677.26,36.04,35.19,cardiovascular,cardiovascular,18-30,mild
164.59,2.25,41.72,antibiotic,antibiotic,51-70,moderate
175.47,28.66,4.97,antidepressant,antibiotic,31-50,none
564.45,43.94,52.69,antidepressant,analgesic,18-30,moderate
544.24,23.62,35.2,antibiotic,cardiovascular,51-70,mild
268.22,33.02,19.78,antiviral,antiviral,31-50,none
444.76,29.57,17.32,cardiovascular,antibiotic,18-30,none
477.83,21.05,11.62,analgesic,antibiotic,31-50,moderate
549.59,2.05,56.65,anti-inflammatory,analgesic,18-30,none
500.54,0.16,67.58,antiviral,antiviral,31-50,none
423.44,43.75,50.53,cardiovascular,antibiotic,70+,none
377.84,40.25,65.46,antiviral,anti-inflammatory,18-30,none
237.02,23.91,17.51,analgesic,antidepressant,31-50,none
153.56,37.21,1.51,anti-inflammatory,analgesic,31-50,none
393.77,10.35,58.1,cardiovascular,antidepressant,18-30,mild
319.85,26.85,41.09,anti-inflammatory,antidepressant,70+,mild
408.35,10.26,40.2,anti-inflammatory,cardiovascular,18-30,none
792.53,28.92,55.97,cardiovascular,antiviral,18-30,none
711.49,6.04,17.31,antiviral,antibiotic,18-30,none
670.55,30.74,49.6,analgesic,antibiotic,31-50,none
563.32,40.24,59.45,cardiovascular,anti-inflammatory,31-50,mild
202.03,1.98,28.29,cardiovascular,anti-inflammatory,51-70,none
336.21,48.18,5.08,antibiotic,antiviral,31-50,severe
754.99,25.96,14.83,anti-inflammatory,anti-inflammatory,31-50,mild
300.59,8.56,3.56,antibiotic,antiviral,18-30,severe
656.79,17.72,29.06,anti-inflammatory,antibiotic,31-50,severe
629.0,3.52,7.4,antidepressant,antiviral,51-70,mild
776.14,13.9,44.05,antibiotic,cardiovascular,70+,none
523.69,13.13,29.91,analgesic,anti-inflammatory,18-30,none
671.91,47.84,63.2,anti-inflammatory,antidepressant,51-70,severe
777.94,28.2,55.67,antidepressant,cardiovascular,51-70,severe
463.28,12.97,28.17,antibiotic,antiviral,51-70,mild
670.1,20.68,26.07,anti-inflammatory,analgesic,51-70,none
409.3,37.46,25.28,anti-inflammatory,antibiotic,31-50,moderate
379.8,44.73,20.1,antiviral,antiviral,70+,mild
302.66,12.18,19.84,antibiotic,antibiotic,51-70,moderate
693.62,17.87,56.3,analgesic,analgesic,51-70,none
646.76,27.12,4.0,cardiovascular,antidepressant,51-70,mild
470.02,49.27,64.69,antidepressant,cardiovascular,18-30,moderate
408.62,37.53,10.11,anti-inflammatory,cardiovascular,31-50,none
501.5,25.17,28.95,antiviral,antibiotic,31-50,severe
355.17,0.52,48.86,cardiovascular,anti-inflammatory,18-30,mild
385.04,43.11,14.29,antidepressant,antibiotic,31-50,mild
269.54,21.25,30.76,antidepressant,antidepressant,70+,none
331.76,9.08,10.31,anti-inflammatory,antiviral,18-30,none
303.27,21.67,28.04,antibiotic,antiviral,18-30,moderate
673.68,8.91,36.47,antiviral,anti-inflammatory,31-50,none
313.13,42.94,4.39,analgesic,antiviral,18-30,mild
290.05,12.79,60.57,analgesic,cardiovascular,51-70,mild
512.37,40.52,25.43,cardiovascular,analgesic,31-50,moderate
591.73,30.32,41.96,antiviral,antiviral,31-50,mild
361.31,25.57,56.01,cardiovascular,analgesic,31-50,mild
336.24,31.62,11.28,antibiotic,antiviral,51-70,mild
521.56,42.46,6.07,antibiotic,antidepressant,18-30,mild
355.97,14.64,19.99,antiviral,cardiovascular,31-50,none
386.06,29.39,69.55,cardiovascular,antibiotic,18-30,none
165.02,36.42,48.0,antiviral,antiviral,51-70,none
212.11,46.85,34.6,analgesic,analgesic,51-70,mild
490.59,49.8,8.38,anti-inflammatory,antibiotic,18-30,moderate
299.08,36.91,32.46,antibiotic,antibiotic,31-50,none
260.9,1.85,26.34,antidepressant,cardiovascular,31-50,severe
506.55,6.84,68.34,anti-inflammatory,antibiotic,31-50,none
446.75,37.47,63.29,cardiovascular,anti-inflammatory,51-70,none
463.07,11.43,7.36,antidepressant,antidepressant,31-50,none
251.22,0.63,38.16,antibiotic,antidepressant,31-50,none
469.76,37.8,22.27,cardiovascular,antidepressant,31-50,moderate
667.9,27.46,14.39,anti-inflammatory,cardiovascular,31-50,mild
403.32,18.98,19.67,cardiovascular,antiviral,18-30,mild
646.95,45.51,58.34,antiviral,antidepressant,31-50,none
418.39,42.69,13.95,antidepressant,analgesic,51-70,none
551.52,13.68,45.22,antibiotic,antidepressant,18-30,mild
270.86,5.2,20.11,antiviral,cardiovascular,51-70,none
301.33,7.62,36.04,antidepressant,cardiovascular,31-50,severe
451.39,39.59,24.45,antibiotic,analgesic,31-50,none
405.07,27.21,13.89,antidepressant,cardiovascular,51-70,severe
311.83,38.58,32.45,antiviral,analgesic,18-30,mild
627.96,4.79,48.29,antibiotic,cardiovascular,31-50,moderate
253.1,36.44,53.88,anti-inflammatory,anti-inflammatory,18-30,none
462.8,15.01,26.59,analgesic,antiviral,18-30,mild
360.93,8.45,20.6,analgesic,cardiovascular,51-70,moderate
155.8,2.2,56.63,cardiovascular,antiviral,31-50,none
252.5,4.66,44.92,antiviral,analgesic,18-30,none
568.97,35.1,57.19,antibiotic,cardiovascular,18-30,moderate
641.85,40.3,32.15,antibiotic,analgesic,51-70,none
382.81,6.82,64.81,cardiovascular,antiviral,31-50,none
273.35,9.41,25.68,antiviral,cardiovascular,31-50,mild
690.38,45.73,40.37,analgesic,anti-inflammatory,18-30,none
388.62,0.14,46.3,cardiovascular,antiviral,18-30,none
162.17,42.86,56.1,antibiotic,antidepressant,51-70,none
401.87,26.25,36.33,anti-inflammatory,antibiotic,51-70,none
359.69,32.08,8.84,anti-inflammatory,antiviral,18-30,none
717.77,10.18,35.46,analgesic,analgesic,31-50,none
693.59,32.93,38.33,antiviral,anti-inflammatory,31-50,none
196.07,46.52,15.82,cardiovascular,analgesic,31-50,moderate
565.3,18.11,53.79,cardiovascular,antidepressant,51-70,severe
493.86,36.74,60.25,analgesic,antibiotic,70+,mild
213.13,36.29,38.75,antibiotic,antibiotic,31-50,none
266.28,37.48,30.48,analgesic,antiviral,31-50,mild
588.42,35.16,31.32,analgesic,antibiotic,51-70,none
577.4,26.74,43.59,antidepressant,antidepressant,31-50,none
797.95,42.26,30.28,antiviral,cardiovascular,51-70,none
504.66,18.82,40.07,antiviral,antidepressant,31-50,mild
444.06,48.0,1.01,analgesic,antidepressant,31-50,none
346.2,15.09,16.75,antidepressant,analgesic,51-70,none
763.18,41.13,66.26,anti-inflammatory,anti-inflammatory,31-50,none
449.24,7.89,19.81,anti-inflammatory,antibiotic,18-30,mild
677.2,4.69,29.39,antibiotic,antiviral,18-30,mild
467.38,44.96,50.9,analgesic,anti-inflammatory,51-70,mild
174.29,40.44,28.09,analgesic,antidepressant,31-50,none
714.09,43.5,17.1,antiviral,anti-inflammatory,70+,none
562.03,31.65,4.84,anti-inflammatory,analgesic,31-50,none
603.55,7.74,48.83,cardiovascular,cardiovascular,51-70,none
523.92,4.6,31.67,cardiovascular,antibiotic,18-30,mild
182.05,20.02,7.04,anti-inflammatory,cardiovascular,51-70,none
234.74,6.83,40.71,cardiovascular,cardiovascular,51-70,mild
628.18,12.39,6.09,cardiovascular,antidepressant,51-70,severe
524.41,5.72,30.36,antidepressant,antidepressant,18-30,none
650.29,8.55,25.83,cardiovascular,anti-inflammatory,18-30,mild
179.17,40.93,15.18,antidepressant,antibiotic,51-70,none
185.45,47.45,66.8,antidepressant,analgesic,31-50,none
672.78,15.33,34.45,antidepressant,antibiotic,51-70,mild
637.73,27.49,45.24,antibiotic,antiviral,51-70,severe
161.95,29.19,48.11,analgesic,antidepressant,18-30,none
551.68,2.75,47.49,analgesic,analgesic,31-50,moderate
326.35,42.62,47.87,analgesic,analgesic,31-50,mild
786.87,25.48,51.39,antidepressant,cardiovascular,70+,moderate
495.51,9.4,36.55,cardiovascular,anti-inflammatory,70+,mild
494.12,16.75,28.93,antibiotic,analgesic,31-50,none
378.74,31.3,17.77,anti-inflammatory,antidepressant,51-70,none
728.76,40.76,3.09,anti-inflammatory,antidepressant,18-30,none
372.16,19.7,10.75,antiviral,cardiovascular,31-50,none
596.24,20.92,41.68,cardiovascular,antidepressant,70+,mild
364.04,27.16,15.68,antibiotic,anti-inflammatory,31-50,moderate
350.85,35.29,38.19,antibiotic,cardiovascular,70+,none
784.25,7.34,67.25,antibiotic,antidepressant,18-30,none
269.69,41.99,11.33,analgesic,antidepressant,70+,none
419.13,20.62,32.45,antiviral,antiviral,31-50,none
270.09,38.15,44.45,antidepressant,anti-inflammatory,31-50,none
300.09,11.69,49.8,antidepressant,analgesic,51-70,none
543.06,35.63,27.55,cardiovascular,cardiovascular,31-50,none
256.46,11.39,30.01,analgesic,antidepressant,70+,none
281.84,10.31,13.57,cardiovascular,anti-inflammatory,31-50,mild
361.18,22.93,18.52,cardiovascular,analgesic,51-70,moderate
406.2,46.96,41.61,anti-inflammatory,anti-inflammatory,51-70,none
607.67,2.02,8.76,cardiovascular,analgesic,70+,moderate
789.49,2.06,28.51,antiviral,analgesic,18-30,moderate
435.71,44.23,55.93,antidepressant,cardiovascular,18-30,mild
598.47,45.19,33.91,antiviral,cardiovascular,18-30,moderate
475.43,9.07,42.57,antiviral,anti-inflammatory,18-30,none
266.27,29.56,51.6,antibiotic,cardiovascular,18-30,none
360.65,32.46,51.51,antibiotic,antiviral,51-70,severe
562.15,4.36,51.22,antiviral,anti-inflammatory,51-70,mild
253.93,27.56,4.12,antibiotic,antidepressant,31-50,none
714.73,9.03,51.56,cardiovascular,antidepressant,31-50,moderate
649.61,22.37,45.48,analgesic,antibiotic,70+,moderate
157.94,24.93,36.4,analgesic,anti-inflammatory,70+,none
304.62,29.48,34.78,cardiovascular,cardiovascular,18-30,none
505.77,31.03,40.59,antibiotic,analgesic,18-30,none
185.79,17.52,11.32,analgesic,antiviral,31-50,none
207.01,5.53,71.56,antibiotic,antiviral,31-50,mild
579.6,35.02,41.63,anti-inflammatory,antibiotic,70+,moderate
173.3,38.45,23.92,cardiovascular,analgesic,51-70,none
698.15,3.34,34.43,analgesic,antiviral,70+,none
286.4,10.53,5.13,anti-inflammatory,antiviral,70+,mild
493.82,4.47,52.41,anti-inflammatory,antiviral,31-50,none
491.5,49.75,26.12,antibiotic,anti-inflammatory,31-50,none
487.81,31.63,35.97,antibiotic,anti-inflammatory,18-30,mild
226.83,23.3,57.57,antiviral,antibiotic,51-70,moderate
799.34,20.76,24.7,anti-inflammatory,antiviral,18-30,none
315.37,3.49,22.32,anti-inflammatory,antidepressant,51-70,none
223.99,16.73,29.12,anti-inflammatory,anti-inflammatory,70+,mild
691.99,46.12,35.02,cardiovascular,analgesic,51-70,mild
462.97,31.4,64.34,anti-inflammatory,antidepressant,31-50,mild
186.41,26.1,41.11,antiviral,antidepressant,31-50,none
162.17,28.91,24.55,antidepressant,analgesic,70+,none
789.35,31.36,60.81,anti-inflammatory,anti-inflammatory,31-50,mild
536.87,43.24,54.36,antiviral,antidepressant,51-70,none
720.08,18.64,59.89,antidepressant,antibiotic,31-50,mild
263.76,18.77,3.66,antibiotic,analgesic,31-50,mild
475.04,9.59,66.58,antiviral,anti-inflammatory,31-50,none
362.77,38.5,7.98,anti-inflammatory,antiviral,70+,none
401.93,43.25,9.22,antidepressant,analgesic,51-70,none
536.29,4.45,34.15,analgesic,analgesic,31-50,none
525.41,15.68,64.34,antidepressant,antibiotic,18-30,none
329.82,16.03,32.32,analgesic,antidepressant,18-30,none
554.91,25.75,15.67,antidepressant,anti-inflammatory,31-50,none
242.01,35.25,21.11,antibiotic,antibiotic,18-30,none
438.37,6.59,34.42,antiviral,analgesic,18-30,none
184.97,21.38,13.71,anti-inflammatory,anti-inflammatory,51-70,none
381.16,16.68,15.07,antiviral,anti-inflammatory,18-30,none
749.81,38.24,41.31,analgesic,antiviral,31-50,none
611.64,23.32,17.45,antibiotic,antibiotic,70+,mild
551.01,45.65,28.84,antiviral,antiviral,31-50,mild
466.88,3.36,9.01,cardiovascular,cardiovascular,51-70,none
333.47,17.5,41.8,anti-inflammatory,analgesic,31-50,none
511.5,3.64,22.45,cardiovascular,cardiovascular,31-50,none
305.07,12.26,12.29,cardiovascular,cardiovascular,18-30,none
430.25,49.01,41.27,antidepressant,anti-inflammatory,51-70,moderate
262.51,33.51,53.5,antiviral,anti-inflammatory,51-70,mild
361.5,4.97,32.61,antidepressant,cardiovascular,18-30,severe
220.68,40.72,55.77,cardiovascular,antidepressant,31-50,moderate
681.07,44.37,65.13,antiviral,analgesic,51-70,none
579.57,22.7,21.7,anti-inflammatory,anti-inflammatory,31-50,mild
344.83,39.74,49.25,cardiovascular,antiviral,70+,moderate
373.77,4.56,1.58,anti-inflammatory,cardiovascular,51-70,none
735.7,48.4,1.06,anti-inflammatory,antidepressant,18-30,none
333.44,1.66,31.65,anti-inflammatory,cardiovascular,51-70,none
432.87,10.64,13.31,antibiotic,antibiotic,31-50,none
698.16,18.08,30.62,antidepressant,antiviral,18-30,moderate
243.6,44.26,47.71,antibiotic,analgesic,18-30,none
673.86,43.02,64.44,antiviral,anti-inflammatory,70+,none
425.68,41.02,28.31,antibiotic,antibiotic,31-50,none
154.83,24.96,52.89,antiviral,anti-inflammatory,31-50,mild
171.75,1.99,35.31,antidepressant,analgesic,31-50,none
775.13,4.1,52.84,anti-inflammatory,antidepressant,31-50,moderate
207.49,23.68,53.66,antiviral,analgesic,51-70,mild
500.48,29.02,44.53,antidepressant,anti-inflammatory,51-70,none
455.0,36.72,30.89,antidepressant,antidepressant,18-30,none
601.78,29.92,22.59,anti-inflammatory,antidepressant,18-30,none
183.55,49.52,58.43,anti-inflammatory,analgesic,31-50,none
203.63,25.33,61.45,antidepressant,antidepressant,18-30,none
159.23,5.67,13.4,anti-inflammatory,antiviral,18-30,moderate
440.32,40.41,19.55,antiviral,antibiotic,31-50,moderate
372.85,4.31,11.3,antibiotic,cardiovascular,51-70,none
418.42,19.22,47.91,antiviral,antiviral,18-30,none
185.31,13.29,59.19,analgesic,antibiotic,31-50,none
459.55,23.87,68.33,anti-inflammatory,antibiotic,31-50,mild
244.35,43.53,1.84,cardiovascular,cardiovascular,51-70,none
775.15,34.18,3.91,anti-inflammatory,antiviral,31-50,mild
573.84,13.7,20.19,analgesic,antidepressant,51-70,none
404.25,38.68,54.19,antiviral,antiviral,31-50,none
598.68,9.08,39.88,antiviral,analgesic,51-70,mild
157.77,4.98,8.38,cardiovascular,antidepressant,18-30,moderate
165.41,4.69,67.63,antiviral,antibiotic,70+,moderate
564.75,35.43,9.52,anti-inflammatory,antibiotic,31-50,mild
672.08,9.32,8.87,antibiotic,antidepressant,31-50,none
579.31,3.88,33.19,antidepressant,cardiovascular,51-70,moderate
317.27,39.06,20.69,analgesic,cardiovascular,31-50,none
797.37,12.99,58.71,antibiotic,cardiovascular,18-30,mild
405.21,32.31,8.7,anti-inflammatory,cardiovascular,18-30,none
568.17,45.64,51.79,analgesic,analgesic,18-30,none
439.82,44.84,11.57,antiviral,analgesic,70+,none
581.99,13.4,50.7,cardiovascular,anti-inflammatory,18-30,none
460.79,20.26,52.67,analgesic,anti-inflammatory,18-30,none
399.88,34.49,56.37,analgesic,anti-inflammatory,31-50,mild
346.84,2.85,71.79,antiviral,analgesic,31-50,none
704.67,17.07,60.72,antidepressant,antiviral,18-30,none
579.48,15.01,28.7,analgesic,antiviral,51-70,none
466.23,44.27,32.1,antibiotic,antibiotic,18-30,severe
305.02,19.5,57.28,antiviral,antidepressant,31-50,none
777.22,40.61,69.63,analgesic,analgesic,31-50,none
413.58,10.66,47.42,anti-inflammatory,cardiovascular,70+,moderate
715.63,26.87,53.61,antibiotic,analgesic,18-30,mild
456.29,45.91,4.25,antiviral,antiviral,18-30,mild
261.96,2.59,22.82,analgesic,cardiovascular,51-70,mild
681.36,5.8,43.24,anti-inflammatory,antibiotic,18-30,mild
281.72,16.93,60.35,antiviral,antiviral,31-50,mild
504.83,16.15,69.49,antibiotic,analgesic,31-50,mild
368.08,6.13,11.03,cardiovascular,antibiotic,51-70,none
751.69,2.13,8.1,antiviral,anti-inflammatory,31-50,none
252.54,43.99,6.73,analgesic,antibiotic,70+,none
334.43,34.71,57.25,cardiovascular,antiviral,18-30,none
243.01,13.62,32.98,antibiotic,antibiotic,51-70,mild
474.93,47.52,45.53,antidepressant,antidepressant,31-50,none
512.51,9.68,71.05,analgesic,anti-inflammatory,31-50,none
292.53,38.54,47.81,antidepressant,analgesic,18-30,none
667.8,34.29,69.77,cardiovascular,cardiovascular,18-30,none
569.16,14.32,31.86,antidepressant,anti-inflammatory,51-70,none
642.97,2.26,53.57,anti-inflammatory,antibiotic,18-30,moderate
